protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,nb,,24856,2856,6240,47525,0.8883611325895652,0.7993311036789298,0.8969399538106235,0.8453271663719222
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,26404,1308,1,53764,0.9839341163764007,0.9999621283847756,0.9528002309468823,0.9758116673134135
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,26500,1212,218,53547,0.9824490346969084,0.9918407066397186,0.9562644341801386,0.9737277236817932
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,26344,1368,77,53688,0.9822649336622605,0.9970856515650429,0.950635103926097,0.9733064858773761
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,26935,777,892,52873,0.9795156915448532,0.9679448018111906,0.9719616050808314,0.9699490448153549
coap,eth,,64,d1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",26335,1377,0,53765,0.9830995250193306,1.0,0.9503103348729792,0.9745221751438563
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,nb,,24882,2867,5685,48043,0.8950378634461259,0.814015114338993,0.8966809614760892,0.8533507099252349
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,26414,1335,0,53728,0.9836150079163445,1.0,0.9518901582038992,0.9753521776858741
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,26506,1243,212,53516,0.9821421996391619,0.9920652743468823,0.9552055929943422,0.9732865771935301
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,svm,C=0.01,26411,1338,36,53692,0.9831363452262601,0.9986387870079783,0.9517820461998631,0.9746475754668241
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,dt,,26930,819,865,52863,0.9793315905102054,0.9688792948372009,0.9704854228981225,0.9696816937923088
coap,eth,,64,d1,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",26346,1403,0,53728,0.9827804165592744,1.0,0.9494396194457458,0.9740641464090951
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,nb,,24826,2826,6067,47758,0.8908526332584655,0.8036124688440747,0.8978012440329813,0.8480997523272696
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,26373,1279,2,53823,0.9842777716410767,0.9999241706161137,0.9537465644438016,0.9762896329612971
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,26473,1179,237,53588,0.9826208623292463,0.9911269187570199,0.9573629393895559,0.9739523932158493
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,svm,C=0.01,26376,1276,26,53799,0.9840200301925697,0.9990152261192334,0.9538550556921742,0.9759129759129759
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,dt,,26875,777,831,52994,0.9802643690857543,0.9700064967876995,0.9719007666714885,0.9709527078290401
coap,eth,,64,d1,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",26324,1328,0,53825,0.9837009217325134,1.0,0.9519745407203819,0.9753964725062991
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,nb,,24653,2880,6087,47857,0.8899444014875364,0.8019843851659076,0.8953982493734791,0.846120844988245
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,26272,1261,6,53938,0.9844495992734146,0.999771672121166,0.9542004140485962,0.9764546282358626
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,26369,1164,234,53710,0.9828417835708236,0.991203999548923,0.9577234591217811,0.9741761489581794
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,svm,C=0.01,26250,1283,26,53918,0.9839341163764007,0.9990105038818694,0.953401372897977,0.9756732145180175
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,dt,,26761,772,913,53031,0.9793193171078954,0.9670087446700875,0.9719609196237242,0.9694785081601971
coap,eth,,64,d1,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",26225,1308,0,53944,0.9839463897787105,1.0,0.9524933715904551,0.9756687376762528
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,nb,,24902,2795,6125,47655,0.8905212513960995,0.8025912914558287,0.8990865436689894,0.8481029902595191
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,26430,1267,1,53779,0.9844373258711048,0.9999621656388332,0.95425497346283,0.9765740467041087
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,26532,1165,230,53550,0.9828786037777533,0.9914057245347881,0.9579376827815287,0.9743843992728475
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,svm,C=0.01,26427,1270,14,53766,0.984240951434147,0.9994705192693166,0.9541466584828682,0.9762828327607226
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,dt,,26957,740,897,52883,0.9799084404187685,0.9677963667695842,0.9732823049427736,0.9705315835898544
coap,eth,,64,d1,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",26343,1354,0,53780,0.9833818132724572,1.0,0.9511138390439398,0.9749444855662472
coap,eth,,64,d1,cbor,dns_message,binvec,6,0.2,nb,,24908,2813,6023,47733,0.8915522171901272,0.8052762600627202,0.8985245842502074,0.8493487008115665
