protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,27349,150,15215,46937,0.8286131777671192,0.6425382952730007,0.9945452561911342,0.7806973723648716
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,26240,1259,8,62144,0.9858674192145096,0.9996952148735142,0.9542165169642532,0.9764265912516047
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,26571,928,564,61588,0.9833576870308195,0.9792150359314539,0.9662533183024837,0.9726909982794597
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,26220,1279,3,62149,0.9857001037355969,0.9998855966136597,0.9534892177897378,0.9761364059416998
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,26710,789,863,61289,0.9815729885890844,0.9687012657309687,0.971308047565366,0.9700029052876235
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",26236,1263,0,62152,0.9859120366755529,1.0,0.9540710571293501,0.9764957662603517
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,27402,136,14970,47143,0.831502158369678,0.6467006513735486,0.995061369743627,0.7839221856672866
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,26275,1263,4,62109,0.9858674192145096,0.9998477872065147,0.9541361028397124,0.9764572532842782
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,26585,953,590,61523,0.9827888144025164,0.9782888684452622,0.9653932747476215,0.9717982929102773
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,26253,1285,27,62086,0.9853654727777715,0.998972602739726,0.9533372067688285,0.9756215392619569
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,26750,788,893,61220,0.9812495119965199,0.9676952573888506,0.9713849952792505,0.9695366158641562
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",26268,1270,0,62113,0.985833956118727,1.0,0.9538819086353403,0.9763966843846411
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,27582,140,15097,46832,0.8300409365205073,0.6462663136437123,0.9949498593175096,0.7835684152213747
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,26467,1255,26,61903,0.9857112581008578,0.9990186086890877,0.9547290960248178,0.9763718528082634
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,26823,899,574,61355,0.9835696199707755,0.9790488009636091,0.9675708823317221,0.9732760028302401
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,26452,1270,0,61929,0.985833956118727,1.0,0.9541880095231224,0.9765570199726806
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,26952,770,913,61016,0.9812272032659981,0.9672348824690472,0.9722242262463026,0.9697231367046252
coap,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",26452,1270,0,61929,0.985833956118727,1.0,0.9541880095231224,0.9765570199726806
