protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,8696,10030,0,10134,0,0.49742114659789727,0.49742114659789727,1.0,0.6643704047161688
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,8696,10043,0,10121,0,0.49806585994842295,0.49806585994842295,1.0,0.6649452113748469
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,8696,0,10130,0,10034,0.49761951993652054,nan,0.0,0.0
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,32,8696,0,10085,0,10079,0.49985121999603255,nan,0.0,0.0
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,40,8696,10019,76,7536,2533,0.622495536599881,0.5707205924238109,0.9924715205547301,0.7247016274864376
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,48,8696,8473,1650,2404,7637,0.7989486213052965,0.7789831755079526,0.8370048404623135,0.806952380952381
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,56,8696,8476,1622,2355,7711,0.8027673080737949,0.7825685532268488,0.8393741334917806,0.8099765875101533
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,64,8696,8440,1647,2331,7746,0.8027177147391391,0.7835855538018754,0.83672053137702,0.8092818103365615
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,72,8696,8488,1627,2439,7610,0.7983535012894267,0.7767914340624142,0.8391497775580821,0.8067674175458607
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,80,8696,8422,1677,2340,7725,0.800783574687562,0.7825682958557889,0.8339439548470146,0.8074397200517712
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,88,8696,8383,1706,2344,7731,0.7991469946439198,0.7814859699822877,0.8309049459807711,0.8054381245196003
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,96,8696,8325,1683,2327,7829,0.8011307280301527,0.7815433721366879,0.8318345323741008,0.8059051306873185
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,104,8696,8303,1658,2358,7845,0.8008331680222178,0.7788199981240034,0.8335508483084028,0.8052565221607991
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,112,8696,8356,1735,2354,7719,0.7972128545923428,0.7802054154995332,0.8280646120305223,0.8034229123599826
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,120,8696,8354,1746,2330,7734,0.7978575679428684,0.7819168850617746,0.8271287128712871,0.8038876058506543
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,128,8696,8251,1761,2316,7836,0.7978079746082126,0.7808271032459544,0.8241110667199361,0.8018854171728461
coap,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,136,8696,8498,1612,2357,7697,0.8031640547510415,0.7828650391524643,0.8405539070227498,0.8106844741235393
