protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,8,8704,0,10147,0,10016,0.49675147547487974,nan,0.0,0.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,16,8704,10070,0,10093,0,0.4994296483658186,0.4994296483658186,1.0,0.6661594945920021
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,24,8704,10060,0,10103,0,0.49893369042305213,0.49893369042305213,1.0,0.6657181616649571
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,32,8704,10062,0,10101,0,0.4990328820116054,0.4990328820116054,1.0,0.6658064516129032
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,40,8704,9871,221,7537,2534,0.6152358280017854,0.5670381433823529,0.9781014665081252,0.7178909090909091
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,48,8704,8838,1302,2658,7365,0.8036006546644845,0.7687891440501043,0.8715976331360947,0.8169717138103162
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,56,8704,8890,1125,2714,7434,0.8096017457719585,0.7661151327128576,0.8876684972541188,0.8224247189971784
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,64,8704,8992,1100,2730,7341,0.8100481079204483,0.7671045896604675,0.8910027744748316,0.8244246813972678
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,72,8704,8918,1241,2524,7480,0.8132718345484303,0.7794091941968188,0.8778423073137119,0.8257025137725106
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,80,8704,8790,1293,2558,7522,0.8090065962406388,0.7745858301022207,0.8717643558464743,0.8203070318697214
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,88,8704,8784,1305,2540,7534,0.8093041710062987,0.7756976333451078,0.8706512042818911,0.8204361836267687
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,96,8704,8948,1082,2705,7428,0.8121807270743441,0.7678709345232987,0.892123629112662,0.8253470460729604
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,104,8704,8670,1298,2575,7620,0.8079154887665526,0.7710093374833259,0.8697833065810594,0.8174232781784755
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,112,8704,8958,1130,2728,7347,0.8086594256807023,0.7665582748588055,0.8879857256145915,0.8228162028106917
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,120,8704,8908,1079,2726,7450,0.8112880027773645,0.7656867801272134,0.8919595474116351,0.8240136903935988
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,128,8704,8988,1085,2681,7409,0.8132222387541537,0.770245950809838,0.8922863099374566,0.8267868641339343
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,136,8704,8969,1118,2673,7403,0.8119823438972376,0.7704002748668614,0.8891642708436601,0.8255326982373786
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,144,8704,8970,1107,2742,7344,0.8091057878291921,0.7658811475409836,0.8901458767490324,0.8233512322731653
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,152,8704,8736,1318,2450,7659,0.8131230471656004,0.7809762202753442,0.8689078973542869,0.8225988700564971
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,160,8704,8830,1257,2546,7530,0.8113871943659178,0.7761954992967651,0.8753841578269059,0.8228113497647114
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,168,8704,8770,1350,2546,7497,0.8067747854981897,0.7750088370448922,0.866600790513834,0.8182496734465385
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,176,8704,8769,1313,2587,7494,0.8065764023210832,0.7721909122930609,0.8697679031938107,0.8180800447802967
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,184,8704,8867,1229,2566,7501,0.8117839607201309,0.775561969736727,0.8782686212361331,0.8237261368386827
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,192,8704,9677,470,880,9136,0.9330456777265288,0.9166429856966941,0.9536808909037154,0.9347952086553323
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,200,8704,9593,503,792,9275,0.9357734464117443,0.923736157920077,0.9501782884310618,0.9367706654948489
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,208,8704,9692,493,816,9162,0.9350791052918712,0.922344880091359,0.9515954835542464,0.9367418933939013
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,216,8704,9581,459,834,9289,0.9358726380002976,0.9199231877100336,0.9542828685258964,0.9367880713761917
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,224,8704,9625,479,804,9255,0.936368595943064,0.9229072777831048,0.9525930324623911,0.9375152194029124
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,232,8704,9588,485,813,9277,0.9356246590289143,0.9218344389962504,0.9518514841655912,0.9366025202696102
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,240,8704,9563,525,752,9323,0.9366661707087239,0.9270964614638876,0.9479579698651863,0.9374111650247513
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,248,8704,9587,507,821,9248,0.9341367852006149,0.9211183704842429,0.9497721418664553,0.9352258316261828
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,256,8704,9565,455,859,9284,0.934831126320488,0.9175940138142747,0.9545908183632734,0.9357268636274702
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,264,8704,9642,487,789,9245,0.9367157665030006,0.9243600805291918,0.9519202290453155,0.9379377431906615
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,272,8704,9584,435,843,9301,0.9366165749144473,0.9191522010165916,0.9565824932628006,0.9374938863347354
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,280,8704,9566,526,829,9242,0.9327976987551455,0.9202501202501202,0.9478795085216013,0.9338604969004735
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,288,8704,9586,485,840,9252,0.9342855725834449,0.919432188758872,0.9518419223513057,0.9353563936185784
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,296,8704,9470,562,790,9341,0.9329464861379755,0.9230019493177388,0.9439792663476874,0.9333727577370392
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,304,8704,9623,511,824,9205,0.9337896146406784,0.9211256820139753,0.9495756858101441,0.9351343472134493
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,312,8704,9490,464,853,9356,0.9346823389376581,0.91752876341487,0.9533855736387382,0.9351135635808248
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,320,8704,10162,0,0,10001,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,328,8704,10122,0,0,10041,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,336,8704,10116,0,0,10047,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,344,8704,10003,0,0,10160,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,352,8704,10016,0,0,10147,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,360,8704,10014,0,0,10149,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,368,8704,10146,0,0,10017,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,376,8704,9971,0,0,10192,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,384,8704,10082,0,0,10081,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,392,8704,10041,0,0,10122,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,400,8704,10167,0,0,9996,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,408,8704,10150,0,0,10013,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,416,8704,10033,0,0,10130,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,424,8704,10069,0,0,10094,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,432,8704,10119,0,0,10044,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,440,8704,10116,0,0,10047,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,448,8704,10199,0,0,9964,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,456,8704,10023,0,0,10140,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,464,8704,10151,0,0,10012,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,472,8704,10094,0,0,10069,1.0,1.0,1.0,1.0
coap,eth,,1024,d2,cbor,dns_message,binvec,1,0.2,dt,,480,8704,10038,0,0,10125,1.0,1.0,1.0,1.0
