protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,8,3976,0,17405,0,62155,0.7812342885872298,nan,0.0,0.0
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,16,3976,0,17517,0,62043,0.7798265460030166,nan,0.0,0.0
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,24,3976,0,17613,0,61947,0.7786199095022625,nan,0.0,0.0
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,32,3976,0,17628,0,61932,0.7784313725490196,nan,0.0,0.0
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,40,3976,0,17557,0,62003,0.779323780794369,nan,0.0,0.0
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,48,3976,8598,9093,3323,58546,0.8439416792357969,0.7212482174314235,0.48600983550958116,0.5807105227610428
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,56,3976,8458,9033,3408,58661,0.8436274509803922,0.7127928535310972,0.4835629752444114,0.576216915897401
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,64,3976,8557,9289,3242,58472,0.8424962292609351,0.7252309517755742,0.4794912025103665,0.577298026648676
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,72,3976,8382,9137,3274,58767,0.8440045248868778,0.7191146190803019,0.47845196643644045,0.5746015424164524
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,80,3976,8490,9237,3244,58589,0.8431246857717446,0.7235384353161752,0.47893044508377053,0.5763551814262924
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,88,3976,8503,9177,3287,58593,0.8433383609854198,0.7212044105173876,0.48093891402714933,0.5770614183915846
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,96,3976,8411,9112,3354,58683,0.8433132227249874,0.7149171270718232,0.4799977172858529,0.5743649276154056
coap,eth,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,104,3976,8470,9079,3378,58633,0.8434263448969331,0.7148885887913572,0.4826485839648983,0.5762492771371228
