protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,nb,,25976,1563,1889,60223,0.9614951311195636,0.9322088641665172,0.9432441265114928,0.937694029311963
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,27539,0,0,62112,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,27452,87,1,62111,0.9990184158570456,0.9999635741084762,0.9968408438941138,0.9983997672388711
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,27539,0,0,62112,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,dt,,27539,0,0,62112,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",26264,1275,0,62112,0.9857781842924228,1.0,0.9537020225861506,0.9763024366671004
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,nb,,26033,1585,1942,60091,0.9606585537250003,0.9305808757819481,0.9426098920993555,0.936556760743259
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,lr,max_iter=5000,27618,0,0,62033,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,knn,algorithm=brute,27530,88,0,62033,0.9990184158570456,1.0,0.9968136722427402,0.9984042939000508
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,svm,C=0.01,27618,0,0,62033,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,dt,,27618,0,0,62033,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",26340,1278,0,62033,0.9857447211966403,1.0,0.9537258309797958,0.9763149115979095
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,nb,,26036,1614,2034,59967,0.959308875528438,0.927538297114357,0.9416274864376131,0.934529791816224
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,lr,max_iter=5000,27650,0,0,62001,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,knn,algorithm=brute,27567,83,0,62001,0.9990741876833499,1.0,0.996998191681736,0.998496839741384
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,svm,C=0.01,27562,88,40,61961,0.9985722412466118,0.9985508296500254,0.9968173598553345,0.9976833417794831
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,dt,,27650,0,0,62001,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",26342,1308,0,62001,0.985410090238815,1.0,0.9526943942133815,0.9757741887687065
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,nb,,26069,1596,2025,59961,0.9596100433904808,0.927920552431124,0.9423097776974516,0.9350598109722197
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,lr,max_iter=5000,27665,0,0,61986,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,knn,algorithm=brute,27558,107,0,61986,0.9988064829170896,1.0,0.9961322971263329,0.998062401535592
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,svm,C=0.01,27665,0,0,61986,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,dt,,27665,0,0,61986,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",26362,1303,0,61986,0.9854658620651192,1.0,0.9529007771552503,0.9758824291557925
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,nb,,26178,1574,2128,59771,0.9587065398043524,0.9248215925952095,0.9432833669645431,0.93396125441507
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,lr,max_iter=5000,27752,0,0,61899,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,knn,algorithm=brute,27661,91,0,61899,0.9989849527612631,1.0,0.9967209570481407,0.9983577860790789
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,svm,C=0.01,27752,0,0,61899,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,dt,,27752,0,0,61899,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",26463,1289,0,61899,0.985622023178771,1.0,0.9535528970884981,0.9762242921700637
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,nb,,26049,1584,1961,60057,0.9604577751503051,0.9299892895394501,0.9426772337422646,0.9362902791006955
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,lr,max_iter=5000,27633,0,0,62018,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,knn,algorithm=brute,27530,103,0,62018,0.998851100378133,1.0,0.9962725726486448,0.9981328064100937
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,svm,C=0.01,27633,0,0,62018,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,dt,,27633,0,0,62018,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",26361,1272,0,62018,0.9858116473882054,1.0,0.9539680816415156,0.9764418268696522
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,nb,,26152,1621,1990,59888,0.9597215870430893,0.9292871864117689,0.9416339610412992,0.9354198336761156
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,lr,max_iter=5000,27773,0,0,61878,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,knn,algorithm=brute,27661,112,0,61878,0.9987507110907854,1.0,0.9959673063766968,0.9979795793195512
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,svm,C=0.01,27773,0,0,61878,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,dt,,27773,0,0,61878,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",26448,1325,0,61878,0.9852204660293806,1.0,0.9522917941886004,0.975562973755556
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,nb,,26014,1640,1948,60049,0.9599781374440888,0.9303340247478721,0.9406957402184133,0.9354861910241657
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,lr,max_iter=5000,27654,0,0,61997,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,knn,algorithm=brute,27572,82,0,61997,0.9990853420486108,1.0,0.9970347870109206,0.9985151921196538
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,svm,C=0.01,27653,1,18,61979,0.999788067060044,0.9993494994759857,0.9999638388659868,0.9996565747853592
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,dt,,27654,0,0,61997,1.0,1.0,1.0,1.0
coap,eth,,64,d2,json,dns_message,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",26348,1306,0,61997,0.9854323989693367,1.0,0.9527735589788096,0.9758157105292397
