protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,9026,1082,3742,6314,0.7607617536203134,0.7069235588972431,0.8929560743965176,0.7891239727225039
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10108,0,0,10056,1.0,1.0,1.0,1.0
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10102,6,21,10035,0.9986609799642928,0.9979255161513385,0.9994064107637515,0.9986654144629529
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,10107,1,3,10053,0.9998016266613767,0.9997032640949555,0.9999010684606252,0.9998021564942131
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,10107,1,0,10056,0.9999504066653442,1.0,0.9999010684606252,0.9999505317833293
coap,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10107,1,0,10056,0.9999504066653442,1.0,0.9999010684606252,0.9999505317833293
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,nb,,9123,1002,3784,6255,0.7626463003372347,0.7068257534671109,0.9010370370370371,0.7922021535255297
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10125,0,0,10039,1.0,1.0,1.0,1.0
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10115,10,14,10025,0.9988097599682603,0.9986178299930891,0.9990123456790123,0.9988150488792338
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,10125,0,0,10039,1.0,1.0,1.0,1.0
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,dt,,10125,0,0,10039,1.0,1.0,1.0,1.0
coap,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10122,3,0,10039,0.9998512199960325,1.0,0.9997037037037036,0.9998518299007261
