protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;0;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;1;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;2;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;3;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;4;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;5;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;6;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;7;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;8;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;9;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;10;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;11;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;12;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;13;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;14;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;15;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;16;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;17;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;18;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;19;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;20;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;21;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;22;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;23;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;24;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;25;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;26;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;27;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;28;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;29;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;30;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;31;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;32;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;33;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;34;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;35;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;36;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;37;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;38;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;39;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;p1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760474700;1760477774;40;0.0;0.0;;;;;0.0;0.0;;;;
