protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,8,8768,0,17300,0,37344,0.6834053143986532,nan,0.0,0.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,16,8768,0,17397,0,37247,0.6816301881267843,nan,0.0,0.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,24,8768,0,17422,0,37222,0.6811726813556841,nan,0.0,0.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,32,8768,0,17316,0,37328,0.683112510065149,nan,0.0,0.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,40,8768,0,17417,0,37227,0.6812641827099041,nan,0.0,0.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,48,8768,8718,8430,2824,34672,0.7940487519215285,0.7553283659677699,0.5083974807557733,0.6077378877657721
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,56,8768,9127,8168,3200,34149,0.7919625210453115,0.7404072361482924,0.5277247759468054,0.6162311795287286
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,64,8768,8852,8511,2978,34303,0.7897481882731865,0.7482671174978868,0.5098197316132005,0.6064467509334429
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,72,8768,9020,8210,3066,34348,0.7936461459629602,0.7463180539467152,0.5235055136390018,0.6153636239596125
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,80,8768,8880,8535,2872,34357,0.7912488104823951,0.7556160653505786,0.5099052540913006,0.6089073267734083
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,88,8768,8933,8383,3003,34325,0.7916331161701193,0.7484081769436998,0.5158812658812659,0.6107616573225763
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,96,8768,9029,8360,2932,34323,0.7933533416294561,0.7548699941476466,0.5192362988095923,0.6152640545144804
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,104,8768,9055,8216,3122,34251,0.7925115291706317,0.7436150119076949,0.5242892710323664,0.6149823417549579
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,112,8768,9228,8144,3125,34147,0.7937742478588683,0.7470250141665992,0.5311996315910661,0.6208915054667788
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,120,8768,9308,8013,3176,34147,0.795238269526389,0.7455943607818007,0.5373823682235437,0.6245931890622379
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,128,8768,9167,8197,3130,34150,0.7927128321499158,0.7454663739123364,0.5279313522229901,0.6181180674960386
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,136,8768,9151,8296,3028,34169,0.7927677329624478,0.7513753181706215,0.5245027798475382,0.6177681766016337
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,144,8768,9101,8230,3171,34142,0.7913586121074592,0.7416069100391134,0.5251283826668974,0.6148701145154207
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,152,8768,9235,8169,3151,34089,0.7928409340458239,0.7455998708218957,0.530625143645139,0.6200067136623028
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,160,8768,8994,8415,2926,34309,0.7924566283580997,0.7545302013422819,0.516629329657074,0.6133178765044837
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,168,8768,8975,8310,2933,34426,0.7942500549008126,0.7536949949613705,0.519236332079838,0.6148734285616415
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,176,8768,8968,8402,2960,34314,0.7920723226703755,0.7518443997317237,0.5162924582613702,0.6121919584954605
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,184,8768,9000,8461,2954,34229,0.791102408315643,0.7528860632424293,0.5154343966554035,0.6119326874043856
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,192,8768,10817,6471,3421,33935,0.818973720811068,0.7597274898159854,0.6256941230911615,0.6862272410074225
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,200,8768,10705,6590,3305,34044,0.818918819998536,0.7640970735189151,0.6189650187915583,0.6839163072991535
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,208,8768,10798,6394,3331,34121,0.8220298660420174,0.7642437539811735,0.6280828292228944,0.6895054436320679
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,216,8768,10750,6426,3517,33951,0.8180404069980236,0.7534870680591575,0.625873311597578,0.6837769932894444
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,224,8768,11032,6322,3545,33745,0.8194312275821682,0.7568086711943472,0.6357035841880835,0.690989947073377
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,232,8768,10926,6388,3544,33786,0.8182417099773077,0.7550794747753974,0.6310500173270186,0.6875157311855021
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,240,8768,11008,6301,3646,33689,0.8179672059146476,0.7511942131841135,0.635969726731758,0.6887964208616213
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,248,8768,10707,6575,3305,34057,0.8191933240611962,0.7641307450756495,0.6195463488022219,0.6842845273854413
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,256,8768,10925,6554,3397,33768,0.8178940048312715,0.7628124563608435,0.6250357571943475,0.6870853117826483
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,264,8768,10862,6461,3552,33769,0.816759388038943,0.7535729152213126,0.627027651099694,0.684500740460661
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,272,8768,10932,6480,3375,33857,0.8196508308322963,0.7641014887817152,0.627842866988284,0.6893029414546487
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,280,8768,11082,6360,3464,33738,0.8202181392284605,0.7618589302901141,0.6353629170966633,0.6928848318119295
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,288,8768,10912,6563,3355,33814,0.8184979137691237,0.7648419429452583,0.6244349070100143,0.6875433180013861
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,296,8768,10969,6276,3430,33969,0.8223775711880535,0.7617890131259115,0.6360684256306176,0.6932751864492479
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,304,8768,10997,6353,3633,33661,0.8172534953517312,0.7516746411483254,0.6338328530259366,0.6877423389618511
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,312,8768,10878,6353,3437,33976,0.8208403484371569,0.7599022004889976,0.6313040450351112,0.6896595447917327
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,320,8768,10845,6459,3482,33858,0.8180770075397116,0.7569623787254833,0.6267337031900139,0.6857197053523442
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,328,8768,10933,6403,3503,33805,0.8187175170192519,0.7573427542255472,0.6306529764651592,0.6882160392798691
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,336,8768,11001,6448,3528,33667,0.8174364980601713,0.7571753045632872,0.6304659292796149,0.6880355244230408
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,344,8768,10889,6484,3402,33869,0.819083522436132,0.7619480792106921,0.6267771829850918,0.6877842344618494
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,352,8768,11005,6447,3524,33668,0.8175279994143914,0.7574506160093606,0.6305867522347008,0.6882211312967074
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,360,8768,10654,6532,3326,34132,0.8195959300197643,0.7620886981402003,0.6199231932968695,0.6836937688506706
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,368,8768,10943,6315,3564,33822,0.8192116243320401,0.7543254980354311,0.6340827442345579,0.688997324098851
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,376,8768,10842,6397,3520,33885,0.8185162140399678,0.7549087870770088,0.6289227913452057,0.6861808170627511
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,384,8768,10672,6656,3451,33865,0.8150391625796062,0.75564681724846,0.615881809787627,0.678642968427077
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,392,8768,11133,6306,3145,34060,0.8270441402532758,0.7797310547695756,0.6383966970583176,0.7020209982028565
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,400,8768,11298,6090,2987,34269,0.8338884415489349,0.7908995449772489,0.6497584541062802,0.7134152116945032
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,408,8768,10716,6580,2295,35053,0.8375850962594247,0.8236107908692645,0.6195652173913043,0.7071633615996304
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,416,8768,11662,5646,5278,32058,0.8000878413000513,0.6884297520661157,0.6737924659117172,0.6810324690492876
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,424,8768,12320,5220,4924,32180,0.8143620525583779,0.7144514033866852,0.7023945267958951,0.7083716651333947
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,432,8768,12215,5013,4896,32520,0.8186626162067199,0.7138682718718953,0.7090201996749478,0.7114359765863887
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,440,8768,12366,4852,4599,32827,0.8270441402532758,0.7289124668435013,0.7182018817516552,0.7235175379574642
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,448,8768,14215,3160,3059,34210,0.8861906156211112,0.8229130485122149,0.8181294964028777,0.8205143005570147
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,456,8768,17379,0,0,37265,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,464,8768,17266,0,0,37378,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,472,8768,17464,0,0,37180,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,480,8768,17468,0,0,37176,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,488,8768,17347,0,0,37297,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,496,8768,17290,0,1,37353,0.999981699729156,0.9999421664449714,1.0,0.9999710823862815
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,504,8768,17371,0,0,37273,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,512,8768,17296,2,0,37346,0.999963399458312,1.0,0.9998843796970748,0.9999421865063306
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,520,8768,17308,1,0,37335,0.999981699729156,1.0,0.9999422265873246,0.9999711124591963
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,528,8768,17295,0,1,37348,0.999981699729156,0.9999421831637373,1.0,0.9999710907461479
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,536,8768,17311,0,0,37333,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,544,8768,17328,0,0,37316,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,552,8768,17260,0,2,37382,0.999963399458312,0.9998841385702699,1.0,0.9999420659289728
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,560,8768,17320,0,1,37323,0.999981699729156,0.9999422666127822,1.0,0.999971132473081
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,568,8768,17374,1,0,37269,0.999981699729156,1.0,0.9999424460431655,0.9999712221934444
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,576,8768,17320,0,0,37324,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,584,8768,17333,0,0,37311,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,592,8768,17228,1,0,37415,0.999981699729156,1.0,0.9999419583260781,0.9999709783208056
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,600,8768,17465,0,2,37177,0.999963399458312,0.9998854983683517,1.0,0.9999427459063323
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,608,8768,17282,1,1,37360,0.999963399458312,0.9999421396748249,0.9999421396748249,0.9999421396748249
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,616,8768,17273,1,0,37370,0.999981699729156,1.0,0.9999421095287716,0.9999710539265348
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,624,8768,17325,0,2,37317,0.999963399458312,0.9998845732094419,1.0,0.9999422832736927
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,632,8768,17361,1,0,37282,0.999981699729156,1.0,0.999942402948969,0.9999712006451056
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,640,8768,17300,2,1,37341,0.999945099187468,0.9999421998728397,0.9998844064270026,0.9999133023148282
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,648,8768,17349,0,0,37295,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,656,8768,17400,2,0,37242,0.999963399458312,1.0,0.9998850706815309,0.9999425320383886
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,664,8768,17178,3,0,37463,0.999945099187468,1.0,0.999825388510564,0.9999126866323234
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,672,8768,17230,0,0,37414,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,680,8768,17320,1,0,37323,0.999981699729156,1.0,0.9999422666127822,0.999971132473081
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,688,8768,17265,0,0,37379,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,696,8768,17149,2,0,37493,0.999963399458312,1.0,0.9998833887236895,0.9999416909620992
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,704,8768,17309,1,3,37331,0.999926798916624,0.9998267097966729,0.9999422299248989,0.9998844665241754
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,712,8768,17323,1,0,37320,0.999981699729156,1.0,0.9999422766104825,0.9999711374722198
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,720,8768,17313,1,0,37330,0.999981699729156,1.0,0.9999422432713411,0.9999711208016866
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,728,8768,17165,1,0,37478,0.999981699729156,1.0,0.9999417453104975,0.9999708718068219
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,736,8768,17247,0,0,37397,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,744,8768,17295,1,0,37348,0.999981699729156,1.0,0.9999421831637373,0.9999710907461479
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,752,8768,17303,1,0,37340,0.999981699729156,1.0,0.9999422098936662,0.9999711041118848
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,760,8768,17407,3,0,37234,0.999945099187468,1.0,0.9998276852383687,0.9999138351954505
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,768,8768,17378,0,2,37264,0.999963399458312,0.999884925201381,1.0,0.9999424592899476
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,776,8768,17325,0,0,37319,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,784,8768,17364,1,1,37278,0.999963399458312,0.9999424128995105,0.9999424128995105,0.9999424128995105
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,792,8768,17238,2,1,37403,0.999945099187468,0.9999419919948953,0.9998839907192575,0.9999129905159663
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,800,8768,17146,0,2,37496,0.999963399458312,0.9998833683228365,1.0,0.9999416807604828
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,808,8768,17183,1,1,37459,0.999963399458312,0.9999418063314711,0.9999418063314711,0.9999418063314711
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,816,8768,17269,2,2,37371,0.999926798916624,0.9998841989462104,0.9998841989462104,0.9998841989462104
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,824,8768,17383,2,1,37258,0.999945099187468,0.9999424758398527,0.9998849582973828,0.9999137162414795
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,832,8768,17260,0,0,37384,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,840,8768,17343,1,1,37299,0.999963399458312,0.9999423431734318,0.9999423431734318,0.9999423431734318
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,848,8768,17237,1,0,37406,0.999981699729156,1.0,0.9999419886297715,0.9999709934735316
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,856,8768,17349,0,2,37293,0.999963399458312,0.9998847328684226,1.0,0.9999423631123919
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,864,8768,17370,2,1,37271,0.999945099187468,0.9999424327902826,0.999884872208151,0.9999136516708401
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,872,8768,17345,1,1,37297,0.999963399458312,0.9999423498212845,0.9999423498212845,0.9999423498212845
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,880,8768,17252,3,0,37389,0.999945099187468,1.0,0.9998261373514923,0.999913061118034
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,888,8768,17320,0,0,37324,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,896,8768,17228,1,0,37415,0.999981699729156,1.0,0.9999419583260781,0.9999709783208056
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,904,8768,17465,2,1,37176,0.999945099187468,0.9999427459063323,0.9998854983683517,0.9999141213179515
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,912,8768,17594,0,0,37050,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,920,8768,17308,1,0,37335,0.999981699729156,1.0,0.9999422265873246,0.9999711124591963
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,928,8768,17182,1,0,37461,0.999981699729156,1.0,0.999941802944771,0.9999709006256365
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,936,8768,17455,1,1,37187,0.999963399458312,0.999942713107241,0.999942713107241,0.999942713107241
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,944,8768,17341,0,0,37303,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,952,8768,17378,1,0,37265,0.999981699729156,1.0,0.9999424592899476,0.9999712288172167
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,960,8768,17362,1,2,37279,0.999945099187468,0.9998848191660907,0.9999424062661982,0.9999136118870043
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,968,8768,17541,0,3,37100,0.999945099187468,0.999829001367989,1.0,0.9999144933732365
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,976,8768,17304,1,1,37338,0.999963399458312,0.9999422132331696,0.9999422132331696,0.9999422132331696
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,984,8768,17336,0,0,37308,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,992,8768,17279,0,0,37365,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1000,8768,17563,0,2,37079,0.999963399458312,0.9998861372046683,1.0,0.9999430653609657
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1008,8768,17425,0,0,37219,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1016,8768,17114,0,0,37530,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1024,8768,17424,1,0,37219,0.999981699729156,1.0,0.9999426111908178,0.9999713047720165
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1032,8768,17256,0,1,37387,0.999981699729156,0.9999420525004346,1.0,0.9999710254107148
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1040,8768,17324,3,0,37317,0.999945099187468,1.0,0.9998268598141629,0.9999134224120516
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1048,8768,17201,0,0,37443,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1056,8768,17222,0,0,37422,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1064,8768,17332,2,1,37309,0.999945099187468,0.9999423065828189,0.9998846198223146,0.9999134623705541
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1072,8768,17274,1,2,37367,0.999945099187468,0.9998842324612178,0.9999421128798842,0.9999131718329426
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1080,8768,17247,0,0,37397,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1088,8768,17326,1,0,37317,0.999981699729156,1.0,0.999942286604721,0.9999711424696275
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1096,8768,17290,2,0,37352,0.999963399458312,1.0,0.999884339578996,0.9999421664449714
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1104,8768,17350,1,0,37293,0.999981699729156,1.0,0.9999423664342113,0.9999711823866747
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1112,8768,17175,0,0,37469,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1120,8768,17273,1,1,37369,0.999963399458312,0.9999421095287716,0.9999421095287716,0.9999421095287716
