protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,nb,,20942,4067,1260,36123,0.9146204641620721,0.9432483560039636,0.8373785437242592,0.8871661265383067
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,25009,0,0,37383,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,25009,0,0,37383,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,25009,0,0,37383,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,dt,,25009,0,0,37383,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",24987,22,0,37383,0.9996473906911142,1.0,0.999120316685993,0.9995599647971838
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,nb,,21037,4145,1183,36027,0.9146044364662136,0.9467596759675968,0.8353983003732826,0.8875996793384245
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,25182,0,0,37210,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,25181,1,0,37210,0.9999839723041416,1.0,0.9999602890953856,0.9999801441534459
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,25182,0,0,37210,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,dt,,25182,0,0,37210,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",25163,19,0,37210,0.9996954737786896,1.0,0.9992454928123262,0.999622604032178
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,nb,,20913,4107,1200,36172,0.9149410180792409,0.9457332790666124,0.8358513189448441,0.8874037298707912
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,25020,0,0,37372,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,25020,0,2,37370,0.9999679446082831,0.9999200703381025,1.0,0.9999600335717996
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,25020,0,0,37372,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,dt,,25020,0,0,37372,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",24986,34,0,37372,0.9994550583408129,1.0,0.9986410871302958,0.9993200815902091
coap,eth,,64,p2,cbor,dns_message,binvec,3,0.2,nb,,20818,4169,1258,36147,0.9130176945762277,0.9430150389563327,0.8331532396846361,0.8846864840745384
coap,eth,,64,p2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,24987,0,0,37405,1.0,1.0,1.0,1.0
coap,eth,,64,p2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,24987,0,0,37405,1.0,1.0,1.0,1.0
