protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,8,8784,0,25003,0,42941,0.6320057694572,nan,0.0,0.0
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,16,8784,0,25119,0,42825,0.6302984811020841,nan,0.0,0.0
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,24,8784,0,25030,0,42914,0.6316083833745437,nan,0.0,0.0
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,32,8784,0,25102,0,42842,0.6305486871541269,nan,0.0,0.0
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,40,8784,0,24982,0,42962,0.6323148475214883,nan,0.0,0.0
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,48,8784,19417,5457,3829,39241,0.8633286235723537,0.835283489632625,0.7806142960521026,0.807024106400665
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,56,8784,19595,5630,3819,38900,0.8609295890733545,0.8368924575040574,0.776808721506442,0.8057320257406608
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,64,8784,19402,5614,3769,39159,0.8619009772754033,0.8373397781709896,0.7755836264790534,0.8052794322120074
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,72,8784,19359,5637,3806,39142,0.8610178970917226,0.8357004101014461,0.7744839174267882,0.8039284898569382
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,80,8784,19347,5670,3815,39112,0.8603997409631461,0.8352905621276229,0.7733541191989447,0.8031299943958986
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,88,8784,19432,5752,3795,38965,0.8594872247733427,0.8366125629655142,0.7716010165184244,0.8027927537129991
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,96,8784,19456,5671,3730,39087,0.8616360532202991,0.8391270594324162,0.7743065228638516,0.8054146916978867
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,104,8784,19422,5654,3745,39123,0.8616654892264217,0.8383476496741054,0.7745254426543309,0.8051738075990299
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,112,8784,19402,5684,3874,38984,0.859325326739668,0.8335624677779687,0.7734194371362513,0.8023654935693313
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,120,8784,19538,5609,3813,38984,0.8613269751560109,0.8367093486360327,0.7769515250328071,0.8057239473792733
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,128,8784,19511,5677,3878,38878,0.859369480748852,0.8341955620163325,0.7746148959822138,0.803301974185314
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,136,8784,19306,5674,3770,39194,0.8610031790886612,0.8366267984052695,0.7728582866293034,0.8034792741801232
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,144,8784,19420,5673,3736,39115,0.8615183091958083,0.8386595266885473,0.7739210138285577,0.8049907770109225
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,152,8784,19474,5627,3738,39105,0.8621659013305075,0.838962605548854,0.7758256643161627,0.8061598327572289
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,160,8784,19374,5758,3829,38983,0.858898504650889,0.8349782355729862,0.7708897023714786,0.8016551153408503
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,168,8784,19403,5668,3774,39099,0.8610326150947839,0.8371661561030331,0.773922061345778,0.8043027690266954
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,176,8784,19543,5586,3875,38940,0.8607529730366184,0.8345289947903323,0.7777070317163437,0.8051166910416709
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,184,8784,19721,5514,3785,38924,0.8631372895325562,0.838977282395984,0.7814939568060234,0.8092160604008946
coap,eth,,64,p2,json,dns_message,binvec,1,0.2,dt,,192,8784,21208,3785,4241,38710,0.881873307429648,0.8333529804707455,0.8485575961269155,0.8408865627849808
