protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,8,8952,0,17357,0,37288,0.682368011711959,nan,0.0,0.0
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,16,8952,0,17383,0,37262,0.6818922133772531,nan,0.0,0.0
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,24,8952,0,17399,0,37246,0.6815994144020496,nan,0.0,0.0
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,32,8952,0,17350,0,37295,0.6824961112636105,nan,0.0,0.0
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,40,8952,0,17440,0,37205,0.6808491170280904,nan,0.0,0.0
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,48,8952,8597,8755,4062,33231,0.7654497209259767,0.6791215735840114,0.49544721069617337,0.5729232614707941
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,56,8952,8419,8776,4191,33259,0.7627047305334431,0.667644726407613,0.48961907531259086,0.564938768662976
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,64,8952,8465,8677,4094,33409,0.7662915179796871,0.6740186320566924,0.4938163574845409,0.570014477627016
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,72,8952,8534,8843,4069,33199,0.7637112270107055,0.6771403634055384,0.49110893710076536,0.5693128752501668
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,80,8952,8668,8740,4061,33176,0.7657425199011804,0.6809647262157279,0.49793198529411764,0.5752397385273916
coaps,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,88,8952,8578,8720,4113,33234,0.7651569219507732,0.6759120636671657,0.4958954792461556,0.5720764280236087
