protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,8,8928,10049,0,10115,0,0.49836341995635786,0.49836341995635786,1.0,0.6652103399199021
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,16,8928,10060,0,10104,0,0.4989089466375719,0.4989089466375719,1.0,0.6656961355214399
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,24,8928,10062,0,10102,0,0.49900813330688354,0.49900813330688354,1.0,0.6657844240058228
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,32,8928,10028,0,10136,0,0.4973219599285856,0.4973219599285856,1.0,0.6642819289878114
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,40,8928,9694,345,7361,2764,0.6178337631422337,0.5683963647024333,0.9656340272935552,0.7155827858566473
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,48,8928,8859,1306,2246,7753,0.8238444753025194,0.7977487618190005,0.8715199212985736,0.8330042313117066
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,56,8928,8755,1386,2213,7810,0.8215135885736957,0.7982312180889861,0.8633270880583769,0.8295040030318821
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,64,8928,8874,1349,2254,7687,0.8213152152350724,0.7974478792235802,0.8680426489288858,0.831249121820992
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,72,8928,8694,1376,2241,7853,0.8206209085498909,0.7950617283950617,0.8633565044687189,0.8278029040704594
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,80,8928,8698,1403,2182,7881,0.8222078952588772,0.7994485294117647,0.861102861102861,0.8291311186311424
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,88,8928,8756,1310,2283,7815,0.8218111485816306,0.7931877887489809,0.8698589310550368,0.829755981994788
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,96,8928,8808,1318,2289,7749,0.8211168418964491,0.793728034603947,0.8698400158009085,0.8300428780097064
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,104,8928,8635,1400,2160,7969,0.8234477286252727,0.7999073645206114,0.8604882909815645,0.829092654824772
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,112,8928,8805,1341,2209,7809,0.823943661971831,0.7994370800798983,0.8678296865759906,0.8322306238185255
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,120,8928,8812,1373,2260,7719,0.8198274151953977,0.7958815028901735,0.8651939126165931,0.8290915933574823
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,128,8928,8769,1372,2214,7809,0.8221583019242213,0.7984157334061732,0.8647076225224337,0.8302404847566749
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,136,8928,8658,1385,2190,7931,0.8227038286054354,0.7981194690265486,0.8620930000995718,0.8288736776602365
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,144,8928,8733,1290,2316,7825,0.8211664352311049,0.7903882704317132,0.8712960191559413,0.8288724373576309
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,152,8928,8625,1338,2211,7990,0.8239932553064868,0.7959579180509413,0.8657031014754591,0.8293667964806001
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,160,8928,8836,1361,2284,7683,0.8192322951795279,0.7946043165467626,0.8665293713837403,0.8290097105596472
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,168,8928,8788,1380,2212,7784,0.8218607419162864,0.7989090909090909,0.8642800944138473,0.8303099017384732
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,176,8928,8814,1342,2263,7745,0.8212160285657608,0.7957028076193915,0.8678613627412367,0.8302171148683652
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,184,8928,8609,1345,2324,7886,0.8180420551477882,0.7874325436751121,0.864878440827808,0.8243404988748982
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,192,8928,9348,632,1938,8246,0.8725451299345368,0.8282828282828283,0.9366733466933868,0.8791498166086711
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,200,8928,9443,678,1928,8115,0.8707597698869272,0.830445871075543,0.9330105720778579,0.8787455797506049
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,208,8928,9439,670,1939,8116,0.8706109898829597,0.8295834065740904,0.933722425561381,0.8785777446828315
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,216,8928,9372,655,1952,8185,0.8707101765522713,0.8276227481455316,0.934676373790765,0.8778979907264297
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,224,8928,9199,697,2031,8237,0.8647093830589169,0.8191451469278718,0.9295675020210186,0.8708700179873142
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,232,8928,9374,667,1917,8206,0.8718508232493553,0.8302187583030732,0.9335723533512599,0.8788674292143259
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,240,8928,9315,691,2029,8129,0.8651061297361634,0.821138928067701,0.9309414351389167,0.8725995316159251
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,248,8928,9363,699,1947,8155,0.8687760365006943,0.8278514588859417,0.930530709600477,0.8761931499157777
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,256,8928,9341,695,1906,8222,0.8710077365602064,0.8305325864675025,0.9307493025109606,0.8777897852746324
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,264,8928,9461,734,1835,8134,0.8725947232691926,0.8375531161473088,0.9280039234919077,0.8804615885719603
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,272,8928,9417,697,1978,8072,0.8673378297956754,0.8264150943396227,0.9310856238876805,0.875633455762704
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,280,8928,9325,733,1946,8160,0.8671394564570521,0.8273445124656197,0.927122688407238,0.8743963617609827
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,288,8928,9378,710,1902,8174,0.8704622098789923,0.8313829787234043,0.9296193497224425,0.8777611381505054
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,296,8928,9412,652,1949,8151,0.8710077365602064,0.8284481999823959,0.935214626391097,0.8785997666277713
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,304,8928,9436,689,1956,8083,0.8688256298353502,0.8283005617977528,0.9319506172839506,0.8770739415346005
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,312,8928,9338,702,1920,8204,0.8699662765324341,0.8294546100550719,0.9300796812749004,0.8768898488120951
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,320,8928,9370,701,1931,8162,0.8694703431858758,0.8291301654720821,0.930394201171681,0.876848212614636
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,328,8928,9380,731,1923,8130,0.8683792898234477,0.8298681765902858,0.9277025022252992,0.8760623890912487
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,336,8928,9410,653,2028,8073,0.8670402697877405,0.8226962755726526,0.9351088144688463,0.8753081252034789
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,344,8928,9454,681,1965,8064,0.8687760365006943,0.8279183816446274,0.9328071040947212,0.877238563607683
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,352,8928,9362,716,1942,8144,0.8681809164848244,0.8282024062278839,0.9289541575709466,0.875689832569451
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,360,8928,9388,719,2009,8048,0.8647093830589169,0.8237255418092481,0.9288611853171069,0.8731398809523809
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,368,8928,9389,724,1907,8144,0.8695199365205316,0.8311791784702549,0.9284089785424701,0.8771077584193564
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,376,8928,9333,679,1958,8194,0.8692223765125967,0.8265875476042867,0.9321813823411905,0.8762146176594846
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,384,8928,9382,699,2010,8073,0.8656516564173775,0.823560393258427,0.930661640710247,0.8738415684813486
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,392,8928,9453,690,1911,8110,0.8710077365602064,0.8318373812038015,0.9319727891156463,0.8790626307713768
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,400,8928,9435,695,1935,8099,0.8695695298551874,0.8298153034300791,0.9313919052319842,0.8776744186046511
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,408,8928,9253,714,1929,8268,0.8689248165046618,0.827490609908782,0.9283635998796027,0.8750295522246915
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,416,8928,9459,697,1939,8069,0.8692719698472525,0.8298824355150026,0.9313706183536825,0.8777025146144567
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,424,8928,9500,655,1910,8099,0.8727930966078159,0.8326029798422436,0.9354997538158543,0.8810572687224669
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,432,8928,9430,675,1928,8131,0.8709085498908946,0.830251804895228,0.9332013854527461,0.878721520756651
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,440,8928,9457,702,1981,8024,0.8669410831184289,0.8268053855569155,0.9308987105030022,0.8757697828402093
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,448,8928,9476,645,1966,8077,0.8705118032136481,0.8281768921517217,0.9362711194545994,0.8789129527431248
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,456,8928,9522,613,1969,8060,0.8719500099186669,0.8286485075276303,0.9395165268870251,0.8806066771478775
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,464,8928,8351,1640,1563,8610,0.8411525490974013,0.8423441597740569,0.8358522670403363,0.8390856568701331
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,472,8928,10023,0,0,10141,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,480,8928,9988,0,0,10176,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,488,8928,10038,0,0,10126,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,496,8928,10074,0,0,10090,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,504,8928,10092,0,0,10072,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,512,8928,10166,0,0,9998,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,520,8928,10072,0,0,10092,1.0,1.0,1.0,1.0
