protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,19252,5762,4271,33106,0.8391915500633104,0.8184330229987672,0.7696489965619253,0.7932917155984095
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,14820,10194,9921,27456,0.6775977304418906,0.5990056990420759,0.592468217798033,0.5957190232137474
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,18050,6964,5105,32272,0.8065586382651344,0.7795292593392356,0.7215959062924762,0.749444663580311
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,dt,,21401,3613,3544,33833,0.8852879421711465,0.8579274403688114,0.8555608859038938,0.8567425288736764
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",21317,3697,3164,34213,0.8900322161850267,0.8707569135247744,0.8522027664507875,0.8613799373674108
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,19284,5736,4437,32934,0.836947636678367,0.8129505501454407,0.7707434052757793,0.7912845448390472
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,14234,10786,8642,28729,0.6886089339808626,0.6222241650638224,0.5689048760991207,0.5943711374645064
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,18785,6235,4705,32666,0.8246541969194274,0.7997020008514262,0.7507993605115907,0.774479488765203
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,dt,,21308,3712,3569,33802,0.8833004760301967,0.8565341480082004,0.8516386890487609,0.854079403571357
coaps,eth,,64,d1,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",21218,3802,3168,34203,0.8882851693353208,0.8700893955548266,0.8480415667466027,0.8589240173258309
