protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,8,8968,0,17291,0,42906,0.7127597720816652,nan,0.0,0.0
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,16,8968,0,17410,0,42787,0.7107829293818629,nan,0.0,0.0
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,24,8968,0,17259,0,42938,0.7132913600345532,nan,0.0,0.0
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,32,8968,0,17266,0,42931,0.713175075169859,nan,0.0,0.0
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,40,8968,0,17409,0,42788,0.7107995415053906,nan,0.0,0.0
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,48,8968,9379,7887,4665,38266,0.791484625479675,0.667829678154372,0.5432063014015985,0.5991057170233153
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,56,8968,9260,7991,4619,38327,0.7905211223150655,0.6671950428705238,0.5367804764941163,0.5949245101188564
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,64,8968,9182,7972,4536,38507,0.7922155589148961,0.6693395538708267,0.5352687419843768,0.5948432236330655
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,72,8968,9571,7839,4728,38059,0.7912354436267588,0.6693475068186586,0.5497415278575531,0.6036771894414835
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,80,8968,9289,8004,4560,38344,0.7912852799973421,0.6707343490504729,0.5371537616376568,0.5965577034230299
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,88,8968,9192,7916,4542,38547,0.7930461650912837,0.6692878986456968,0.5372924947393033,0.5960702937552688
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,96,8968,9356,8059,4611,38171,0.7895243949034005,0.6698646810338655,0.5372380132070055,0.5962653750557645
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,104,8968,9427,7982,4487,38301,0.7928634317324783,0.6775190455656174,0.5415015222011603,0.6019219104172653
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,112,8968,9305,8030,4523,38339,0.7914680133561474,0.6729100376048597,0.5367753100663398,0.5971825562365626
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,120,8968,9462,7883,4751,38101,0.7901224313503995,0.6657285583620629,0.5455174401844912,0.5996577729894164
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,128,8968,9408,7847,4761,38181,0.7905543465621211,0.6639847554520432,0.5452332657200811,0.5987780040733197
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,136,8968,9255,7917,4628,38397,0.7916009103443693,0.6666426564863502,0.5389587700908456,0.5960392851392691
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,144,8968,9411,8087,4513,38186,0.790687243550343,0.6758833668486067,0.5378328951880215,0.5990070651136147
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,152,8968,9473,7733,4703,38288,0.7934116318088942,0.6682420993227991,0.5505637568290132,0.6037218787840163
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,160,8968,9286,7888,4690,38333,0.7910527102679535,0.6644247281053234,0.5407010597414696,0.5962118780096308
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,168,8968,9385,7917,4661,38234,0.7910527102679535,0.6681617542360815,0.5424228412900243,0.5987622814852622
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,176,8968,9309,7956,4611,38321,0.7912354436267588,0.66875,0.5391833188531712,0.597017797017797
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,184,8968,9373,8082,4557,38185,0.7900393707327608,0.6728643216080402,0.5369808077914637,0.5972916998566195
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,192,8968,10917,6388,4783,38109,0.8144259680714986,0.6953503184713375,0.6308581334874314,0.6615361308892592
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,200,8968,11187,6079,4862,38069,0.8182467564828813,0.6970527758738863,0.6479207691416657,0.6715893741557857
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,208,8968,11069,6251,4856,38021,0.8154891439772746,0.6950706436420722,0.6390877598152425,0.6659046473153858
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,216,8968,11140,6361,4607,38089,0.8177982291476319,0.7074363370800787,0.6365350551397063,0.6701154956689124
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,224,8968,10998,6320,4733,38146,0.8163861986477732,0.699129108130443,0.6350617854255688,0.6655572029410874
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,232,8968,11030,6221,4850,38096,0.8160871804242736,0.6945843828715366,0.6393832241609182,0.6658416588693369
coaps,eth,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,240,8968,10964,6434,4763,38036,0.8139940528597771,0.6971450371971768,0.6301873778595241,0.661977358490566
