protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,nb,,9234,854,3881,6194,0.7651639141000843,0.7040792985131529,0.9153449643140364,0.7959315605740637
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,10088,0,0,10075,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,9497,591,1472,8603,0.8976838764072806,0.8658036284073297,0.9414155432196669,0.9020278292254357
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,10088,0,0,10075,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,dt,,10088,0,0,10075,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9825,263,2141,7934,0.8807717105589447,0.8210763830854086,0.9739294210943695,0.8909948308696835
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,nb,,9219,871,4053,6020,0.7557903089817983,0.694620253164557,0.9136769078295341,0.7892303741118055
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,lr,max_iter=5000,10090,0,0,10073,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,knn,algorithm=brute,9496,594,1492,8581,0.8965431731389178,0.8642155078267201,0.9411298315163529,0.9010342537242623
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,svm,C=0.01,10090,0,0,10073,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,dt,,10090,0,0,10073,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9820,270,2139,7934,0.8805237315875614,0.8211388912116397,0.9732408325074331,0.8907433443693592
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,nb,,9368,844,3923,6028,0.7635768486832316,0.7048378602061546,0.9173521347434391,0.7971748287452666
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,lr,max_iter=5000,10212,0,0,9951,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,knn,algorithm=brute,9608,604,1510,8441,0.8951544908991718,0.8641842057924087,0.9408538973756365,0.9008907641819034
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,svm,C=0.01,10212,0,0,9951,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,dt,,10212,0,0,9951,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9925,287,2185,7766,0.8773991965481327,0.8195706028075971,0.9718958088523306,0.8892572350147836
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,nb,,9311,786,3946,6120,0.7653127014829143,0.7023459304518368,0.9221550955729425,0.7973794639033999
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,lr,max_iter=5000,10097,0,0,10066,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,knn,algorithm=brute,9572,525,1473,8593,0.9009076030352626,0.8666364870982345,0.9480043577300188,0.9054961687635985
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,svm,C=0.01,10097,0,0,10066,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,dt,,10097,0,0,10066,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9871,226,2111,7955,0.8840946287754798,0.8238190619262227,0.9776171139942558,0.8941528148919788
coaps,eth,,1024,d1,json,dns_message,binvec,5,0.2,nb,,9186,894,3916,6167,0.7614442295293359,0.701114333689513,0.9113095238095238,0.7925114312828919
coaps,eth,,1024,d1,json,dns_message,binvec,5,0.2,lr,max_iter=5000,10080,0,0,10083,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,5,0.2,knn,algorithm=brute,9550,530,1570,8513,0.8958488320190447,0.8588129496402878,0.9474206349206349,0.9009433962264151
coaps,eth,,1024,d1,json,dns_message,binvec,5,0.2,svm,C=0.01,10080,0,0,10083,1.0,1.0,1.0,1.0
coaps,eth,,1024,d1,json,dns_message,binvec,5,0.2,dt,,10080,0,0,10083,1.0,1.0,1.0,1.0
