protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,18835,6267,3915,38927,0.8501412928293889,0.8279120879120879,0.750338618436778,0.787218925018808
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,19432,5670,5957,36885,0.8288737784057459,0.7653708298869589,0.7741215839375348,0.7697213364758075
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,18522,6580,4946,37896,0.8303602967149417,0.7892449292653827,0.7378694924707194,0.7626930203829524
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,21454,3648,3522,39320,0.8944719180501589,0.8589846252402307,0.8546729344275357,0.8568233555653181
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",22769,2333,3446,39396,0.9149446603084893,0.8685485409116918,0.9070591984702414,0.8873862462731649
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,18776,6256,4150,38762,0.8468444601436477,0.8189828142720056,0.7500798977309044,0.7830184744985196
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,19238,5794,6041,36871,0.8258124337689863,0.7610269393567783,0.7685362735698306,0.7647631730635448
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,18256,6776,4901,38011,0.8281378782526787,0.788357732003282,0.7293064876957495,0.7576832887173421
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,21468,3564,3609,39303,0.8944277640409749,0.8560832635482714,0.8576222435282838,0.8568520625037418
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,18743,6276,4110,38815,0.8471388202048746,0.8201549030761826,0.7491506455094128,0.7830464572192514
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,19428,5591,5921,37004,0.8305663487578006,0.7664207661051718,0.776529837323634,0.7714421855146124
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,18034,6985,4560,38365,0.8300806546567762,0.7981765070372665,0.7208121827411168,0.7575242055741079
coaps,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,21573,3446,3478,39447,0.8980925468032497,0.8611632270168855,0.8622646788440785,0.8617136009586579
