protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,nb,,10773,6559,3845,33468,0.8096074663738677,0.7369681214940484,0.6215670436187399,0.6743661971830985
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,17331,1,0,37313,0.9999817000640497,1.0,0.9999423032540965,0.9999711507947956
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,17190,142,112,37201,0.9953518162686431,0.9935267599121489,0.9918070620816986,0.9926661661950684
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,17307,25,9,37304,0.9993778021776923,0.9994802494802495,0.9985575813524117,0.9990187023782037
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17332,0,0,37313,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",15794,1538,412,36901,0.9643151248970628,0.9745773170430705,0.9112624048003692,0.941856998032083
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,nb,,10866,6467,3880,33432,0.8106505627230305,0.736877797368778,0.6268966710898286,0.6774525390442345
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,17333,0,0,37312,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,17199,134,151,37161,0.9947845182541861,0.9912968299711815,0.9922690820977327,0.9917827177579794
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,17333,0,0,37312,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,dt,,17333,0,0,37312,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",15457,1876,394,36918,0.9584591453929912,0.9751435240678822,0.8917671493682571,0.9315935390549662
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,nb,,10870,6399,3750,33626,0.8142739500411749,0.7435020519835841,0.6294516185071516,0.6817397848787984
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,17269,0,0,37376,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,17110,159,146,37230,0.9944185195351817,0.9915391747797867,0.9907927500144768,0.9911658218682114
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,17261,8,0,37376,0.9998536005123982,1.0,0.9995367421390932,0.9997683174051549
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,dt,,17269,0,0,37376,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",15594,1675,418,36958,0.9616982340561808,0.9738945790657008,0.9030053853726331,0.9371112646855563
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,nb,,10882,6564,3670,33529,0.8127184554854058,0.7478009895547004,0.6237532958844434,0.6801675104694044
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,lr,max_iter=5000,17446,0,0,37199,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,knn,algorithm=brute,17294,152,116,37083,0.9950956171653399,0.9933371625502585,0.9912874011234667,0.9923112233187973
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,nb,,10942,6318,3580,33805,0.8188672339646811,0.7534774824404352,0.6339513325608342,0.6885658548864136
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,17260,0,0,37385,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,knn,algorithm=brute,17144,116,115,37270,0.9957727147954982,0.9933368097804044,0.993279258400927,0.9933080332570469
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,svm,C=0.01,17252,8,0,37385,0.9998536005123982,1.0,0.9995365005793743,0.9997681965693093
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,dt,,17260,0,0,37385,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",15547,1713,312,37073,0.962942629700796,0.9803266284128885,0.9007531865585168,0.9388568495425587
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,svm,C=0.01,17371,21,0,37253,0.9996157013450453,1.0,0.9987925482980681,0.9993959094439491
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,dt,,17392,0,0,37253,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",15747,1645,389,36864,0.962777930277244,0.975892414476946,0.9054162833486661,0.9393342877594846
coaps,eth,,64,d2,cbor,dns_cbor,binvec,6,0.2,nb,,10793,6516,3706,33630,0.8129380547168085,0.7443961652527761,0.6235484430065283,0.67863430583501
coaps,eth,,64,d2,cbor,dns_cbor,binvec,6,0.2,lr,max_iter=5000,17309,0,0,37336,1.0,1.0,1.0,1.0
coaps,eth,,64,d2,cbor,dns_cbor,binvec,6,0.2,knn,algorithm=brute,17192,117,132,37204,0.9954433159483942,0.9923805125836989,0.9932405107169681,0.9928103254121792
coaps,eth,,64,d2,cbor,dns_cbor,binvec,6,0.2,svm,C=0.01,17300,9,0,37336,0.999835300576448,1.0,0.9994800392859207,0.9997399520355976
coaps,eth,,64,d2,cbor,dns_cbor,binvec,6,0.2,dt,,17309,0,0,37336,1.0,1.0,1.0,1.0
