protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8934,1171,3981,6078,0.7444951398532037,0.691753774680604,0.8841167738743196,0.7761946133796699
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10105,0,0,10059,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10062,43,169,9890,0.9894862130529657,0.9834815756035579,0.9957446808510638,0.9895751376868608
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,10105,0,0,10059,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10105,0,0,10059,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10065,40,184,9875,0.9888910930370958,0.9820470289784369,0.9960415635823849,0.9889947921784416
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8781,1123,4048,6212,0.7435528664947431,0.6844648842466288,0.8866114701130856,0.7725333216029561
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9904,0,0,10260,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9864,40,198,10062,0.9881967863519143,0.9803220035778175,0.9959612277867528,0.9880797355504357
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,9904,0,0,10260,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,9904,0,0,10260,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9860,44,148,10112,0.9904780797460822,0.9852118305355716,0.9955573505654282,0.9903575733226195
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8941,1092,3999,6132,0.7475203332672089,0.6909582689335394,0.8911591747234128,0.7783920254211466
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10033,0,0,10131,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9986,47,201,9930,0.987700853005356,0.9802689702562088,0.9953154589853483,0.9877349159248269
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,10033,0,0,10131,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10033,0,0,10131,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9982,51,190,9941,0.9880480063479469,0.9813212740857256,0.9949167746436759,0.9880722593417471
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,nb,,8964,1142,4006,6052,0.744693513191827,0.6911333847340015,0.8869978230754008,0.7769110764430577
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10106,0,0,10058,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10061,45,173,9885,0.9891886530450308,0.9830955638069181,0.9955471996833565,0.9892822025565389
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,10105,1,0,10058,0.9999504066653442,1.0,0.9999010488818524,0.9999505219929741
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,dt,,10106,0,0,10058,1.0,1.0,1.0,1.0
coaps,eth,,1024,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10075,31,211,9847,0.987998413013291,0.9794866809255298,0.9969325153374233,0.9881326010200079
