protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,nb,,9175,1048,4051,5890,0.7471235865899624,0.6937093603508241,0.8974860608431967,0.7825493624461598
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,9085,1138,2050,7891,0.8418964491172386,0.8158958239784463,0.8886823828621735,0.8507350875550145
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9158,1065,1888,8053,0.8535508827613568,0.8290783994206048,0.8958231438912256,0.8611594339179087
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,9200,1023,2075,7866,0.8463598492362626,0.8159645232815964,0.8999315269490364,0.8558935714950228
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,8924,1299,1182,8759,0.876958936718905,0.8830397783494953,0.8729335811405654,0.8779575975207832
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9573,650,2348,7593,0.8513191827018449,0.8030366579984901,0.9364178812481659,0.8646134393063584
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,nb,,9014,1046,4130,5974,0.743304899821464,0.6857881923311017,0.8960238568588469,0.7769350112049647
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,8997,1063,2164,7940,0.8399623090656616,0.8061105635695727,0.8943339960238569,0.8479336506290939
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9054,1006,1954,8150,0.8532037294187661,0.8224927325581395,0.9,0.8595025631289159
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,9093,967,2173,7931,0.8442769291807181,0.8071187644239304,0.9038767395626243,0.8527618868986214
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,8886,1174,1078,9026,0.8883158103550883,0.8918105178643115,0.883300198807157,0.8875349580503396
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9505,555,2428,7676,0.8520630827216822,0.7965306293471884,0.944831013916501,0.8643659346155596
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,nb,,8961,1080,4161,5962,0.7400813330688355,0.6828989483310471,0.8924409919330744,0.773733972283383
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,8909,1132,2061,8062,0.8416484824439595,0.8121239744758432,0.8872622248780002,0.8480319832468707
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,8972,1069,1868,8255,0.85434437611585,0.8276752767527675,0.8935365003485709,0.8593458167712275
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,9003,1038,2063,8060,0.8462110692322952,0.8135731068136635,0.8966238422467881,0.8530819159520538
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,8801,1240,1080,9043,0.8849434635984924,0.8906993219309787,0.8765063240713077,0.883545828732055
coaps,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9381,660,2353,7770,0.8505752826820075,0.799471620930629,0.9342694950702122,0.861630309988519
