protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,19880,5221,3629,33661,0.8581526181660817,0.8456335871368412,0.792000318712402,0.8179386957416169
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,19853,5248,5125,32165,0.833742046128448,0.7948194411081752,0.7909246643560017,0.7928672697138521
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,19409,5692,4242,33048,0.8407783173855203,0.8206418333262864,0.773236126050755,0.7962340006563833
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,dt,,21500,3601,3476,33814,0.8865701783911141,0.8608263933376041,0.8565395800964105,0.8586776364398826
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",21131,3970,3149,34141,0.8858970043756311,0.8703047775947281,0.8418389705589419,0.8558352402745996
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,19762,5178,3696,33755,0.8577679473000913,0.8424418108960696,0.7923817161186848,0.8166453159221455
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,19923,5017,5259,32192,0.8352967575451588,0.791160352632833,0.7988372093023256,0.7949802481944056
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,19314,5626,3911,33540,0.8471414146271097,0.8316038751345532,0.7744186046511627,0.801993148551853
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,dt,,21390,3550,3507,33944,0.886890737446106,0.8591396553801662,0.8576583801122695,0.8583983787146097
coaps,eth,,64,p1,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",21084,3856,3191,34260,0.887051016973602,0.8685478887744593,0.8453889334402566,0.8568119475769582
