protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,nb,,8951,1178,4459,5576,0.7204423725451299,0.6674869500372856,0.8837002665613585,0.7605250860274438
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8868,1261,2238,7797,0.8264729220392779,0.7984873041599135,0.8755059729489585,0.8352248646103132
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8911,1218,2210,7825,0.8299940487998413,0.8012768635914036,0.8797512093987561,0.8386823529411764
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8951,1178,2303,7732,0.8273656020630827,0.7953616491913986,0.8837002665613585,0.8372071271570874
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,dt,,9874,255,255,9780,0.9747073993255306,0.9748247605884095,0.9748247605884095,0.9748247605884095
coaps,eth,,1024,p1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9452,677,3009,7026,0.8171989684586392,0.7585266030013642,0.9331622075229539,0.8368304559539619
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,nb,,8914,1218,4443,5589,0.7192521325133902,0.6673654263681964,0.8797868140544809,0.7589935714589808
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8773,1359,2180,7852,0.824489188653045,0.8009677713868346,0.8658705092775365,0.8321555608252312
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8907,1225,2185,7847,0.8308867288236461,0.8030111792282726,0.8790959336754837,0.8393328307576329
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,svm,C=0.01,8886,1246,2251,7781,0.8265721087085895,0.7978809374158211,0.8770232925384919,0.8355823028821289
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,dt,,9826,306,326,9706,0.9686570124975203,0.9678881008668243,0.9697986577181208,0.9688424373890752
coaps,eth,,1024,p1,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9388,744,2893,7139,0.8196290418567744,0.7644328637733083,0.9265692854322938,0.8377281042252265
