protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,nb,,9755,313,7273,2823,0.6237849633009324,0.5728799624148462,0.9689114024632499,0.7200324771183939
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,8936,1132,2283,7813,0.830638762150367,0.7965059274445138,0.8875645609853,0.8395734485836426
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,8880,1188,2752,7344,0.8046022614560603,0.7634112792297112,0.8820023837902264,0.8184331797235023
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,9133,935,2373,7723,0.8359452489585399,0.7937597775073875,0.9071315057608264,0.8466672846945398
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,dt,,7948,2120,1943,8153,0.7985022812933942,0.8035587908199373,0.7894318633293603,0.7964326870083671
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",9487,581,2422,7674,0.8510712160285657,0.7966244017129902,0.9422924116011124,0.863357146107294
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,nb,,9760,324,7260,2820,0.623884149970244,0.5734430082256169,0.967869892899643,0.7201889020070839
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,lr,max_iter=5000,8876,1208,2229,7851,0.8295477087879389,0.7992796037820802,0.8802062673542245,0.8377931945820944
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,knn,algorithm=brute,8814,1270,2844,7236,0.7959730212259473,0.7560473494595985,0.8740579135263784,0.8107809769110478
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,svm,C=0.01,9164,920,2359,7721,0.8373834556635588,0.7952790072029854,0.9087663625545418,0.848243624751238
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,dt,,7990,2094,1944,8136,0.7997421146597897,0.8043084356754581,0.7923443078143594,0.7982815466080527
coaps,eth,,1024,p2,cbor,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",9439,645,2350,7730,0.8514679627058124,0.8006616337263551,0.936037286790956,0.863073195263567
