protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,nb,,7261,10068,12202,30666,0.6300480090369952,0.37306684478240765,0.419008598303422,0.394705370732768
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9120,8209,3511,39357,0.8053059122547636,0.7220330931834376,0.5262854175082232,0.6088117489986649
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10671,6658,4189,38679,0.8198082960944898,0.7181022880215343,0.6157885625252467,0.6630215290937898
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,9061,8268,3469,39399,0.8050235061547918,0.7231444533120511,0.522880720180045,0.6069191868448374
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10516,6813,8099,34769,0.7522800139541838,0.5649207628256783,0.6068440186969819,0.5851324282216782
coaps,eth,,64,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10297,7032,3237,39631,0.8294101034935296,0.7608245899216788,0.5942062438686595,0.6672714901338171
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,nb,,7228,10123,12000,30846,0.6324899911955746,0.3759101310588725,0.41657541352083455,0.3951994313677247
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8990,8361,3412,39434,0.8044254697077927,0.7248830833736494,0.5181257564405509,0.6043088091957114
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10636,6715,4289,38557,0.8172001927006329,0.7126298157453936,0.6129906057287764,0.6590655595488908
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,8904,8447,3426,39420,0.8027642573550177,0.7221411192214112,0.5131692697827215,0.5999797850476736
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,dt,,10543,6808,8043,34803,0.7532933534893765,0.5672549230603681,0.6076306841104259,0.5867490330300248
coaps,eth,,64,p2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10193,7158,3195,39651,0.8280146851171986,0.7613534508515089,0.5874589360843755,0.6631965906503139
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,nb,,7174,10168,11970,30885,0.6322408093426582,0.3747388215628918,0.4136777764963672,0.3932467247711451
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,9166,8176,3337,39518,0.8087446218250078,0.7331040550267935,0.5285434205973936,0.6142402412464399
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,10630,6712,4148,38707,0.819592338488629,0.7193124915414806,0.6129627493945335,0.661892901618929
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,9068,8274,3286,39569,0.8079638520192036,0.7340132750526145,0.5228923999538693,0.6107219827586207
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,dt,,10616,6726,7997,34858,0.7554197053009286,0.5703540536184387,0.6121554607311729,0.5905159226811292
coaps,eth,,64,p2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",10335,7007,3182,39673,0.8307390733757496,0.7645927350743508,0.595952023988006,0.6698207978223533
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,nb,,7313,9918,12045,30921,0.6351479309600147,0.3777766298171299,0.4244094945156984,0.3997376260624778
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,8881,8350,3457,39509,0.8038606575078492,0.7198087210244772,0.5154082757820208,0.60069667557239
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,10559,6672,4229,38737,0.8189112414239912,0.7140248850419258,0.6127909001218733,0.6595458946250664
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,8848,8383,3368,39598,0.8047909364254032,0.7242960052390308,0.5134931228599617,0.6009440690053316
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,dt,,10463,6768,8041,34925,0.7539910626775421,0.5654453091223519,0.6072195461667924,0.5855883587519238
coaps,eth,,64,p2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",10176,7055,3215,39751,0.8293934913700018,0.7599133746546187,0.5905635192385816,0.6646202076938149
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,nb,,7271,10101,12078,30747,0.6315597122780205,0.3757816941444002,0.41854708726686624,0.39601318046894146
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,9090,8282,3576,39249,0.803013439207934,0.7176693510184746,0.5232558139534884,0.6052333710633198
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,10625,6747,4135,38690,0.8192268717710185,0.7198509485094851,0.6116163941975593,0.6613344952072701
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,svm,C=0.01,9018,8354,3466,39359,0.8036446999019885,0.7223646267222045,0.5191112134469261,0.6040996784565916
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,dt,,10461,6911,7942,34883,0.753260129242321,0.5684399282725643,0.6021759152659452,0.5848218029350105
coaps,eth,,64,p2,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",10293,7079,3271,39554,0.8280645214877818,0.758846947803008,0.5925051807506332,0.6654383242823895
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,nb,,7290,10012,11864,31031,0.6365931857069289,0.38059935261564165,0.42133857357530924,0.3999341672152732
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,9188,8114,3461,39434,0.8077146701662874,0.7263815321369278,0.5310368743497862,0.6135354412206604
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,10722,6580,4169,38726,0.8214362842002093,0.7200322342354443,0.6196971448387469,0.6661075389059733
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,svm,C=0.01,9025,8277,3374,39521,0.8064521487781783,0.7278812807484475,0.5216159981505029,0.607723645668496
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,dt,,10589,6713,8217,34678,0.7519809957306842,0.5630649792619377,0.6120101722344238,0.5865182231084525
coaps,eth,,64,p2,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",10353,6949,3209,39686,0.8312540492051099,0.7633829818610824,0.5983701306207375,0.6708786936236392
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,nb,,7209,10093,12165,30730,0.6302473545193282,0.3720966243419015,0.4166570338689169,0.39311811538881014
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,8992,8310,3493,39402,0.8039271060019603,0.7202242691229476,0.5197087041960466,0.6037533152046195
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,knn,algorithm=brute,10628,6674,4266,38629,0.8182633686064089,0.7135759366187726,0.614264246907872,0.6602062367996024
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,svm,C=0.01,8911,8391,3497,39398,0.8025150755021014,0.7181656995486783,0.5150271644896544,0.5998653651969034
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,dt,,10520,6782,8143,34752,0.752064056348323,0.5636821518512565,0.6080221939660155,0.5850132072848603
coaps,eth,,64,p2,json,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",10269,7033,3209,39686,0.8298586308287789,0.761908294999258,0.5935152005548492,0.6672514619883041
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,nb,,7294,10081,11979,30843,0.6335365549778228,0.3784569086286515,0.41979856115107916,0.3980571927526741
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,lr,max_iter=5000,9084,8291,3454,39368,0.8048906091665697,0.7245174669006221,0.5228201438848921,0.6073613479089359
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,knn,algorithm=brute,10560,6815,4163,38659,0.8176321079123544,0.7172451266725531,0.6077697841726619,0.6579849211788896
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,svm,C=0.01,8933,8442,3382,39440,0.8035782514078774,0.7253755582622817,0.5141294964028778,0.6017514314584035
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,dt,,10546,6829,7929,34893,0.7548382809774573,0.5708254397834912,0.6069640287769784,0.5883403068340307
coaps,eth,,64,p2,json,dns_cbor,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",10274,7101,3221,39601,0.8285296609465588,0.7613190070396443,0.5913093525179857,0.6656300615484289
