protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,nb,,11344,6047,17466,31391,0.6450760777683855,0.39375216938563,0.6522914150997643,0.4910716218263674
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8565,8826,4207,44650,0.803269532665137,0.6706075790792358,0.49249611868207693,0.5679143321287671
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8626,8765,4936,43921,0.7931862093950006,0.6360418817283586,0.49600368006440115,0.5573611604690983
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8594,8797,4194,44663,0.8039035140683493,0.6720362840162653,0.4941636478638376,0.569535107193744
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,8420,8971,10630,38227,0.704126917039005,0.441994750656168,0.4841584727732735,0.4621168464092643
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9067,8324,4592,44265,0.8050356237169424,0.6638114063987115,0.521361623828417,0.5840257648953301
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,nb,,11272,5984,17560,31432,0.6446081391136336,0.3909544950055494,0.6532220676866017,0.48915118902968235
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8663,8593,4239,44753,0.8063035865233668,0.6714462873973027,0.5020282800185443,0.5745075933417335
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8549,8707,4826,44166,0.7957221350078493,0.639177570093458,0.4954218822438572,0.5581926806176749
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8645,8611,4161,44831,0.8072092742422413,0.6750741839762612,0.5009851645804357,0.5751447009513672
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,8484,8772,10639,38353,0.7069949281487743,0.4436542383517231,0.4916550764951321,0.4664229363094093
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9080,8176,4577,44415,0.8074960753532182,0.6648605110932123,0.5261937876680575,0.5874551159706273
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,nb,,11336,6029,17282,31601,0.6481252264219297,0.39611433363617304,0.6528073711488627,0.49305178000565425
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8664,8701,4148,44735,0.8060469750030189,0.6762410240399626,0.49893463864094445,0.5742121483248832
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8555,8810,4770,44113,0.7950126796280642,0.6420262664165103,0.49265764468759,0.5575105897686543
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8649,8716,4069,44814,0.8070130419031518,0.6800597578235572,0.4980708321336021,0.5750091413755277
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,8447,8918,10286,38597,0.7101195507788914,0.4509154967170234,0.486438237834725,0.4680037675217464
coaps,schc,,64,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9108,8257,4447,44436,0.8082357203236324,0.6719291774253043,0.5245033112582781,0.5891332470892626
