protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,nb,,15218,9810,9541,39506,0.738764765440432,0.6146451795306758,0.608038996324117,0.6113242412678008
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,18538,6490,3301,45746,0.8678231522105974,0.8488483904940702,0.7406904267220713,0.7910896793052681
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19604,5424,3144,45903,0.8843334458319271,0.8617900474767013,0.7832827233498482,0.8206630944407234
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,18475,6553,3243,45804,0.8677556530543368,0.8506768579058845,0.7381732459645197,0.7904419629487015
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,dt,,20062,4966,5694,43353,0.8560917988525143,0.7789252989594657,0.8015822279047466,0.7900913673597983
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",18434,6594,2582,46465,0.8761255484306446,0.877141225732775,0.7365350807096053,0.8007123620884371
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,nb,,15433,9592,9523,39527,0.7419507256159298,0.618408398781856,0.6167032967032967,0.6175546707748945
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,18542,6483,3330,45720,0.8675261559230509,0.8477505486466715,0.7409390609390609,0.7907542060259718
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19633,5392,3151,45899,0.8846709416132298,0.8617011938202247,0.7845354645354645,0.8213097952268401
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,18498,6527,3281,45769,0.8675936550793115,0.8493502915652693,0.7391808191808191,0.7904452610887959
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,dt,,20075,4950,5607,43443,0.8574822814714816,0.7816758819406588,0.8021978021978022,0.7918038929536356
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",18453,6572,2653,46397,0.8754640566992913,0.8743011465933858,0.7373826173826173,0.8000260128763738
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,nb,,15411,9826,9438,39400,0.7399392507593655,0.6201859229747676,0.6106510282521694,0.6153815437447591
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,18778,6459,3281,45557,0.868511643604455,0.8512625232331474,0.7440662519316876,0.7940629228687416
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19802,5435,3129,45709,0.8843874451569356,0.8635471632288169,0.7846415976542378,0.8222056136854343
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,18795,6442,3252,45586,0.869132635842052,0.8524969383589605,0.7447398660696596,0.7949835039336773
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,dt,,20261,4976,5570,43268,0.8576307796152548,0.7843676203011885,0.8028291793794825,0.7934910315657555
coaps,schc,,64,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",18698,6539,2485,46353,0.8781775227809653,0.8826889486852665,0.7408963030471134,0.805601034037053
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,nb,,15562,9525,9455,39533,0.7437732028349645,0.6220570012391574,0.6203212819388528,0.6211879291074565
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,lr,max_iter=5000,18661,6426,3347,45641,0.8680661491731353,0.8479189385677935,0.7438513971379599,0.7924832784796687
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,knn,algorithm=brute,19765,5322,3154,45834,0.8855754303071212,0.8623849208080632,0.7878582532785905,0.8234387368245636
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,svm,C=0.01,18596,6491,3278,45710,0.8681201484981438,0.8501417207643778,0.7412604137601148,0.7919763207768148
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,dt,,20096,4991,5657,43331,0.8562537968275397,0.7803362715023492,0.8010523378642325,0.790558615263572
coaps,schc,,64,d1,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",18518,6569,2606,46382,0.8761390482618967,0.8766332134065518,0.7381512337067007,0.8014541992166367
