protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,nb,,8787,2379,4174,18107,0.8040780937004813,0.677956947766376,0.7869425040300914,0.7283955734239649
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10191,975,452,21829,0.9573354859927646,0.9575307713990416,0.9126813541106932,0.9345682974918612
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9408,1758,2145,20136,0.8833079199928244,0.8143339392365619,0.8425577646426652,0.8282054667899116
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,10002,1164,412,21869,0.952880676891799,0.9604378720952564,0.8957549704459967,0.9269694161260427
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,10468,698,959,21322,0.9504589350315424,0.9160759604445611,0.9374888053018091,0.9266586995972204
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9075,2091,1579,20702,0.8902741650970192,0.8517927538952507,0.8127350886620097,0.8318056828597616
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,nb,,8901,2474,4162,17910,0.8015965557449098,0.6813901860215877,0.7825054945054946,0.7284556837711761
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10343,1032,477,21595,0.9548838460848507,0.9559149722735675,0.9092747252747253,0.9320117143500789
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9555,1820,2080,19992,0.883397614135797,0.8212290502793296,0.84,0.8305084745762712
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,10089,1286,402,21670,0.9495320955541603,0.9616814412353446,0.8869450549450549,0.9228025244672093
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,dt,,10665,710,1011,21061,0.9485454599814632,0.9134121274409044,0.9375824175824176,0.9253394646653074
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9222,2153,1634,20438,0.8867760935210931,0.8494841562269713,0.8107252747252748,0.8296522873464981
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,nb,,8806,2471,4222,17948,0.799892367028433,0.6759287688056493,0.7808814400993171,0.7246245628471508
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,10202,1075,500,21670,0.9529105749394564,0.9532797607923753,0.9046732286955751,0.9283406888393466
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9383,1894,2137,20033,0.879480969892666,0.8144965277777778,0.8320475303715528,0.8231784883975962
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,10022,1255,448,21722,0.949083624839298,0.9572110792741165,0.8887115367562295,0.92169034809399
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,dt,,10570,707,1013,21157,0.9485753580291207,0.9125442458775792,0.9373060211049038,0.9247594050743657
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9116,2161,1563,20607,0.8886596705235148,0.8536379810843712,0.8083710206615234,0.8303880488249226
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,4,0.2,nb,,8808,2568,4124,17947,0.7999222650760905,0.6811011444478813,0.7742616033755274,0.7246996873457298
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,10295,1081,482,21589,0.9532693515113463,0.9552751229470168,0.9049753867791842,0.9294452218661129
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9468,1908,2166,19905,0.878195353843394,0.813821557503868,0.8322784810126582,0.8229465449804433
coaps,schc,min_rules,1024,d2,cbor,dns_cbor,binvec,4,0.2,svm,C=0.01,10041,1335,425,21646,0.9473794361228212,0.9593923179820371,0.8826476793248945,0.9194212984158959
