protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17239,0,42549,0.7116645480698468,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17459,0,42329,0.7079848799090118,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17502,0,42286,0.7072656720412123,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17391,0,42397,0.7091222318859972,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17310,0,42478,0.7104770187997591,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17070,0,42718,0.7144912022479427,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17281,0,42507,0.7109620659664146,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17446,0,42342,0.7082023148457884,nan,0.0,0.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,17273,2,0,42513,0.9999665484712651,1.0,0.9998842257597684,0.9999421095287716
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,17291,2,0,42495,0.9999665484712651,1.0,0.9998843462672757,0.999942169789498
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,17150,3,0,42635,0.9999498227068977,1.0,0.9998251034804407,0.9999125440923534
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,17270,2,0,42516,0.9999665484712651,1.0,0.9998842056507642,0.9999420994731052
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,17193,2,0,42593,0.9999665484712651,1.0,0.9998836871183484,0.9999418401768059
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,17382,2,0,42404,0.9999665484712651,1.0,0.9998849516797055,0.9999424725306334
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,17340,5,0,42443,0.9999163711781628,1.0,0.9997117324877486,0.9998558454663399
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,17463,4,0,42321,0.9999330969425303,1.0,0.9997709967367034,0.9998854852562268
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,17368,3,0,42417,0.9999498227068977,1.0,0.9998272983708479,0.9999136417283169
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,17391,4,0,42393,0.9999330969425303,1.0,0.9997700488646163,0.9998850112114069
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,17412,2,0,42374,0.9999665484712651,1.0,0.9998851498794074,0.9999425716418767
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,17262,1,0,42525,0.9999832742356326,1.0,0.9999420726409083,0.9999710354815351
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,17212,1,0,42575,0.9999832742356326,1.0,0.9999419043746006,0.9999709513435003
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,17463,3,0,42322,0.9999498227068977,1.0,0.9998282377189969,0.9999141114832947
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,17194,1,1,42592,0.9999665484712651,0.9999418435591741,0.9999418435591741,0.9999418435591741
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,17295,0,0,42493,1.0,1.0,1.0,1.0
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,17231,2,5,42550,0.999882919649428,0.9997099094917614,0.9998839435965879,0.9997969189706692
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,17337,2,2,42447,0.9999330969425303,0.9998846530941807,0.9998846530941807,0.9998846530941807
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,17277,1,5,42505,0.9998996454137954,0.9997106816340702,0.9999421229308948,0.9998263888888889
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,17354,0,10,42424,0.9998327423563257,0.9994240958304538,1.0,0.999711964974941
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,17236,0,5,42547,0.9999163711781628,0.9997099936198597,1.0,0.9998549757809554
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,17452,2,3,42331,0.9999163711781628,0.9998281294757949,0.9998854130858256,0.9998567704603397
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,31,1016,17379,1,6,42402,0.999882919649428,0.9996548748921484,0.9999424626006904,0.9997986480655832
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,32,1016,17238,3,6,42541,0.9998494681206931,0.999652052887961,0.9998259961719158,0.9997390169638973
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,33,1016,17294,2,4,42488,0.9998996454137954,0.9997687593941497,0.9998843663274746,0.9998265595189917
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,34,1016,17315,1,6,42466,0.999882919649428,0.999653599676693,0.9999422499422499,0.9997979039755175
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,35,1016,17387,4,2,42395,0.9998996454137954,0.9998849847604807,0.9997699959749295,0.9998274870615296
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,36,1016,17425,1,8,42354,0.9998494681206931,0.9995411002122412,0.9999426144841043,0.9997418170343383
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,37,1016,17221,1,5,42561,0.9998996454137954,0.9997097410890514,0.9999419347346418,0.9998258244310265
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,38,1016,17573,0,5,42210,0.9999163711781628,0.9997155535328252,1.0,0.9998577565360872
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,39,1016,17493,3,0,42292,0.9999498227068977,1.0,0.9998285322359396,0.9999142587670411
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,40,1016,17263,1,2,42522,0.9999498227068977,0.9998841587025775,0.9999420759962928,0.9999131165107591
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,41,1016,17415,2,1,42370,0.9999498227068977,0.9999425815342214,0.9998851696618246,0.9999138747739212
coaps,schc,min_rules,64,d2,cbor,dns_cbor,binvec,1,0.2,dt,,42,1016,17391,1,6,42390,0.999882919649428,0.9996551129505087,0.999942502299908,0.9997987869728937
