protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,11293,0,22081,0.6616228201594055,nan,0.0,0.0
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,11379,0,21995,0.6590459639240127,nan,0.0,0.0
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,11414,0,21960,0.6579972433630971,nan,0.0,0.0
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,8969,2474,5296,16635,0.7671840354767184,0.6287416754293725,0.7837979550817094,0.6977594523105648
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,8966,2379,5468,16561,0.7648768502427039,0.6211722322294583,0.7903040987219039,0.6956049497653128
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,9000,2412,5262,16700,0.7700605261580872,0.6310475389145982,0.7886435331230284,0.7010983874737088
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,8985,2452,5236,16701,0.7696410379337209,0.6318121088531046,0.7856081140159132,0.700366357471354
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,9050,2392,5179,16753,0.773146760951639,0.6360250193267271,0.7909456388743227,0.7050757664290445
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,8943,2448,5321,16662,0.767213998921316,0.6269629837352776,0.7850934948643666,0.6971740401481192
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,8778,2391,5343,16862,0.7682627194822317,0.6216273635011684,0.7859253290357239,0.6941874258600237
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,8964,2390,5271,16749,0.7704500509378558,0.6297154899894626,0.7895014972696847,0.7006135448825668
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,8926,2479,5289,16680,0.7672439623659136,0.6279282448118185,0.782639193336256,0.6967993754879
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,8972,2499,5123,16780,0.7716186252771619,0.6365377793543809,0.782146281928341,0.7018696706563404
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,8941,2419,5277,16737,0.7694013303769401,0.6288507525671684,0.7870598591549296,0.6991164281804676
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,8978,2416,5362,16618,0.7669443279199377,0.6260808926080893,0.7879585746884326,0.6977539441983368
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,9147,2404,5170,16653,0.7730568706178462,0.6388908290843054,0.7918794909531642,0.7072058141332921
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,8337,3149,4321,17567,0.7761730688559957,0.6586348554273977,0.7258401532300192,0.6906063618290258
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,7805,3543,3970,18056,0.7748846407382993,0.6628450106157112,0.6877863940782517,0.6750854127924577
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,7731,3581,3718,18344,0.7812968178821837,0.6752554808280199,0.683433521923621,0.6793198892843021
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,7777,3649,3752,18196,0.7782405465332295,0.6745598057073466,0.6806406441449326,0.677586582443912
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,7690,3687,3892,18105,0.7729070533948583,0.6639613192885512,0.6759251120682078,0.669889803562873
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,7852,3493,4087,17942,0.7728770899502607,0.6576765223218025,0.6921110621419128,0.6744545610719808
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,7959,3418,4203,17794,0.7716485887217595,0.6544153922052294,0.6995693064955613,0.6762394324312843
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,7740,3719,4336,17579,0.758644453766405,0.6409407088439881,0.6754516100881404,0.6577437858508605
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,7044,4266,4133,17931,0.7483370288248337,0.6302227789209984,0.6228116710875331,0.6264953084004091
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,6515,4842,4297,17720,0.7261640798226164,0.6025712171661117,0.5736550145284847,0.5877576796427444
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,5317,5877,4341,17839,0.6938335231018158,0.550528059639677,0.47498659996426656,0.5099750623441397
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,4197,7139,4344,17694,0.6559297656858633,0.4913944502985599,0.3702364149611856,0.42229712733309854
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,4201,7254,4384,17535,0.6512854317732366,0.489341875364007,0.3667394151025753,0.41926147704590816
coaps,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,4190,7187,4492,17505,0.6500569305447355,0.48260769407970516,0.36828689461193637,0.4177675856224139
