protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;0;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;1;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;2;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;3;0.020823700826160262;0.03823944970768662
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;4;0.03403795081207397;0.0464588418742669
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;5;0.026086793628036745;0.040309132327242536
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;6;0.020674143187301455;0.03683349254041888
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;7;0.03010385114688391;0.04393338335671607
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;8;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;9;0.0;0.0
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;10;0.017011774300164876;0.03513135147122838
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;11;0.004183844124889476;0.009543325127632311
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;12;0.001380657893218678;0.005601182645675856
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;13;0.0014667577028629076;0.006116001379158174
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;14;0.0015450135195555212;0.006101651940754504
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;15;0.0006939026379770962;0.0038482559063612817
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;16;0.0014278011082690366;0.006456711526883899
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;17;0.001268118430300541;0.005286140957519806
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;18;0.0007092216768731165;0.003827774849455008
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;19;0.00027152967556097815;0.001473643661541157
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;20;0.0008422908306610842;0.004123075112581458
coaps;schc;peer_based;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759459346;1759459707;21;0.001188533321884113;0.005593707204105828
