protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;0;0.0;0.0
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;1;0.0;0.0
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;2;0.0;0.0
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;3;0.026789666132061553;0.07726321537050321
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;4;0.011246729113846395;0.0137281429347717
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;5;0.010583466304394551;0.011653035804126171
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;6;0.009220966428607126;0.011186085101263642
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;7;0.013328314067772044;0.014940129889810569
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;8;0.0;0.0
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;9;0.0;0.0
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;10;0.01106128003674675;0.02017245412000548
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;11;0.0027571710438002565;0.006774467311312277
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;12;0.0033982596319847838;0.006125856027476736
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;13;0.0006407315125629957;0.0015641133973914915
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;14;0.00041424830506431483;0.0015806677359693475
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;15;0.0006170226033119833;0.0023057065798527277
coaps;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440637;1759440920;16;0.0006569228520203204;0.002392638213237507
