protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,1,1016,0,25173,0,42406,0.6275026265555868,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,2,1016,0,24974,0,42605,0.6304473283120496,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,3,1016,0,25119,0,42460,0.628301691353823,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,4,1016,0,25229,0,42350,0.6266739667648233,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,5,1016,0,25075,0,42504,0.6289527811894228,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,6,1016,0,25103,0,42476,0.6285384512940411,nan,0.0,0.0
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,7,1016,25026,78,0,42475,0.9988457952914367,1.0,0.9968929254302104,0.9984440454817475
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,8,1016,25037,60,0,42482,0.9991121502241821,1.0,0.9976092760090848,0.9988032074041568
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,9,1016,25073,81,0,42425,0.9988014028026458,1.0,0.9967798362089528,0.9983873215601171
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,10,1016,24986,67,0,42526,0.9990085677503366,1.0,0.9973256695804894,0.9986610443853794
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,11,1016,24810,73,0,42696,0.9989197827727548,1.0,0.9970662701442752,0.9985309802185418
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,12,1016,25017,73,0,42489,0.9989197827727548,1.0,0.9970904742925468,0.9985431177280619
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,13,1016,24985,69,0,42525,0.9989789727578093,1.0,0.9972459487506985,0.9986210755610624
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,14,1016,25041,50,0,42488,0.9992601251868184,1.0,0.9980072535969072,0.9990026330487513
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,15,1016,25128,62,0,42389,0.9990825552316548,1.0,0.9975387058356491,0.9987678365594816
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,16,1016,24945,80,0,42554,0.9988162002989094,1.0,0.9968031968031968,0.9983990394236542
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,17,1016,25122,83,0,42374,0.9987718078101185,1.0,0.9967070025788534,0.9983507858604725
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,18,1016,25090,37,15,42437,0.9992305301942911,0.9994025094602669,0.9985274803995702,0.9989648033126294
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,19,1016,25415,37,9,42118,0.9993193151718729,0.9996460037759597,0.9985462831997486,0.9990958408679927
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,20,1016,24796,34,7,42742,0.999393302653191,0.9997177760754747,0.9986306886830447,0.9991739366953438
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,21,1016,24922,39,2,42616,0.999393302653191,0.9999197560584175,0.9984375625976524,0.9991781096522001
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,22,1016,25126,34,1,42418,0.9994820876307728,0.9999602021729613,0.9986486486486487,0.9993039950683079
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,23,1016,25206,27,8,42338,0.9994820876307728,0.9996827159514555,0.9989299726548567,0.9993062025492101
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,24,1016,25029,32,32,42486,0.9990529602391275,0.998723115597941,0.998723115597941,0.998723115597941
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,25,1016,24860,36,42,42641,0.9988457952914367,0.9983133884828528,0.9985539845758354,0.9984336720350215
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,26,1016,25014,35,48,42482,0.9987718078101185,0.9980847498204453,0.9986027386322808,0.9983436770369779
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,27,1016,25050,26,70,42433,0.9985794403586913,0.9972133757961783,0.9989631520178657,0.9980874970117141
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,28,1016,25189,34,74,42282,0.9984018704035277,0.9970708150259272,0.9986520239463982,0.9978607930911539
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,29,1016,25132,31,58,42358,0.9986830228325367,0.9976974990075427,0.9987680324285657,0.9982324787003753
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,30,1016,25106,31,69,42373,0.9985202503736368,0.9972591857000993,0.9987667581652544,0.9980124026077278
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,31,1016,25286,35,82,42176,0.998268692937155,0.9967675812046674,0.9986177481142134,0.9976918069009055
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,32,1016,24874,27,74,42604,0.9985054528773731,0.9970338303671638,0.9989157061965382,0.9979738811209854
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,33,1016,25219,30,65,42265,0.9985942378549549,0.9974292042398355,0.9988118341320449,0.9981200403696594
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,34,1016,25076,33,65,42405,0.9985498453661641,0.9974145817588799,0.9986857302162572,0.9980497512437811
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,35,1016,25097,33,75,42374,0.9984018704035277,0.9970204989671063,0.9986868284918424,0.9978529680728401
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,36,1016,25095,47,84,42353,0.9980615279894642,0.9966638865721434,0.9981306180892531,0.9973967131018859
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,37,1016,24954,38,65,42522,0.9984758578848458,0.9974019744993805,0.9984795134443022,0.997940453100318
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,38,1016,24994,36,66,42483,0.9984906553811095,0.997366320830008,0.9985617259288854,0.9979636654022759
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,39,1016,25039,33,72,42435,0.9984462628923186,0.9971327306757994,0.9986837906828334,0.9979076579718231
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,40,1016,25034,45,70,42430,0.9982982879296823,0.9972115997450606,0.9982056700825391,0.9977083873024729
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,41,1016,25225,36,70,42248,0.998431465396055,0.9972326546748369,0.9985748782708523,0.9979033151356911
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,42,1016,24972,43,76,42488,0.9982390979446277,0.9969658256148195,0.9982810313811713,0.997622995026267
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,43,1016,25240,34,62,42243,0.9985794403586913,0.9975496008220694,0.9986547440056975,0.9981018664979436
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,44,1016,25043,32,89,42415,0.9982095029521005,0.9964586980741684,0.9987238285144566,0.9975899774931782
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,45,1016,25195,28,68,42288,0.9985794403586913,0.9973083165103115,0.9988899020735044,0.9980984827476924
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,46,1016,25131,26,104,42318,0.9980763254857278,0.9958787398454527,0.9989664904400366,0.9974202254326083
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,47,1016,25180,41,73,42285,0.9983130854259459,0.9971092543460183,0.9983743705642124,0.9977414114197408
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,48,1016,24979,37,84,42479,0.9982095029521005,0.996648445916291,0.9985209465941797,0.9975838175682422
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,49,1016,25234,33,94,42218,0.9981207179745187,0.9962886923562856,0.998693948628646,0.9974898705405673
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,50,1016,25097,37,75,42370,0.9983426804184732,0.9970204989671063,0.9985278905068831,0.9977736254124756
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,51,1016,24870,34,84,42591,0.9982538954408914,0.9966338062034142,0.9986347574686797,0.9976332785109712
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,52,1016,25221,32,98,42228,0.9980763254857278,0.9961293889964059,0.9987328238229122,0.9974294075773155
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,53,1016,24830,41,89,42619,0.9980763254857278,0.9964284281070669,0.9983514937075308,0.9973890339425587
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,54,1016,24988,29,91,42471,0.9982243004483642,0.9963714661669125,0.9988407882639805,0.9976045991695944
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,55,1016,25015,32,108,42424,0.9979283505230915,0.9957011503403256,0.9987224018844573,0.9972094877416783
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,56,1016,25119,38,83,42339,0.9982095029521005,0.9967066105864614,0.9984894860277458,0.9975972517325602
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,57,1016,24848,24,72,42635,0.9985794403586913,0.9971107544141252,0.9990350595046639,0.9980719794344473
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,58,1016,24978,40,102,42459,0.9978987555305642,0.995933014354067,0.9984011511711568,0.997165555511198
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,59,1016,24910,37,63,42569,0.9985202503736368,0.9974772754574941,0.9985168557341564,0.9979967948717948
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,60,1016,25087,33,75,42384,0.9984018704035277,0.9970193148398379,0.9986863057324841,0.9978521140766079
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,61,1016,25321,40,92,42126,0.9980467304932006,0.9963798056113014,0.9984227751271637,0.9974002442194824
coaps,schc,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,62,1016,25213,26,99,42241,0.9981503129670459,0.9960888116308471,0.9989698482507231,0.9975272497082155
