protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;0;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;1;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;2;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;3;0.00010787807545509231;3.7199336363480384e-6;;;;;0.0001760945607435782;5.9343084903296095e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;4;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;5;0.00014879734545530932;0.000029759469091061863;;;;;0.00024270529504355487;0.00004855510716395006;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;6;0.1057242338796675;0.00016739701363727155;;;;;0.2028673909494672;0.0004187695684543802;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;7;0.09463139177597069;0.000026039535454658314;;;;;0.17755799215574586;0.00008544891677708666;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;8;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;9;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;10;0.00005579900454572018;3.7199336364035496e-6;;;;;0.00009106611619652538;5.997273770208533e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;11;0.00013763754454615418;3.7199336364035496e-6;;;;;0.00022235161559058803;6.122383980899926e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;12;0.0007551465281858682;0.00003347940272746541;;;;;0.0012349516030984997;0.00005453634010643693;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;13;0.015355886050992806;0.0002603953545469162;;;;;0.02568712023840536;0.00044050823838448494;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;14;0.002492355536377222;0.00007439867272768241;;;;;0.004076937745203846;0.0001212822804694258;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;15;0.00008183854000037849;0.000014879734545558687;;;;;0.00013348473888902257;0.000024302369980022664;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;16;0.00006695880545487531;7.439867272751588e-6;;;;;0.00010899558394317221;0.000012181041778691615;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;17;-0.00004091927000027251;3.7199336363480384e-6;;;;;-0.00006657449698749263;5.9971394973934444e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;18;3.7199336363480384e-6;3.7199336363480384e-6;;;;;6.119359529266344e-6;6.119359529266344e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;19;-5.551115123125783e-17;0.000014879734545558687;;;;;5.842512584841586e-10;0.00002423240355015066;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;20;-0.000014879734545614198;0.0;;;;;-0.000024171074081869026;6.074521702315039e-8;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;21;-5.551115123125783e-17;7.439867272751588e-6;;;;;1.4606282849882746e-10;0.000012116201769774015;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;22;-7.439867272807099e-6;0.0;;;;;-0.000012116055706945517;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;23;-7.439867272807099e-6;0.0;;;;;-0.000012116055706945517;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;24;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;25;7.439867272696077e-6;0.0;;;;;0.000012116347832602514;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;26;-0.000014879734545558687;7.439867272751588e-6;;;;;-0.000024231673246666308;0.000012115617539720791;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;27;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;28;0.00003347940272735439;0.000011159800909155138;;;;;0.00005458811433067812;0.000018238194413711106;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;29;0.000018599668181851214;3.7199336363480384e-6;;;;;0.000030291453859188078;6.058466057778933e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;30;0.000026039535454602802;3.7199336364035496e-6;;;;;0.000042470011298867405;5.997132890844803e-6;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;31;0.000026039535454602802;0.000018599668181906726;;;;;0.000042470594154020436;0.000030231875095487748;;;;
coaps;schc;;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1095741;1761059599;1761060289;32;0.0;0.0;;;;;1.8311936528236927e-7;6.104175070964502e-8;;;;
