protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,1,1016,0,24949,0,49067,0.6629242325983571,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,2,1016,0,25095,0,48921,0.6609516861219196,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,3,1016,0,25172,0,48844,0.6599113705144833,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,4,1016,0,25151,0,48865,0.660195092952875,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,5,1016,0,25169,0,48847,0.6599519022913964,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,6,1016,0,25003,0,49013,0.6621946606139213,nan,0.0,0.0
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,7,1016,25123,70,0,48823,0.9990542585386943,1.0,0.9972214504028897,0.9986087924318309
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,8,1016,24958,64,0,48994,0.9991353220925205,1.0,0.9974422508192791,0.9987194877951181
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,9,1016,24976,66,0,48974,0.9991083009079118,1.0,0.9973644277613609,0.9986804750289896
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,10,1016,24915,63,0,49038,0.9991488326848249,1.0,0.9974777804467931,0.9987372978173291
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,11,1016,24896,75,0,49045,0.9989867055771725,1.0,0.9969965159585119,0.998495999358293
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,12,1016,24923,79,0,49014,0.998932663207955,1.0,0.9968402527797776,0.9984176264396595
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,13,1016,24953,68,0,48995,0.9990812797233031,1.0,0.9972822828823789,0.9986392924320647
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,14,1016,24889,69,0,49058,0.9990677691309987,1.0,0.9972353553970671,0.99861576423857
coaps,schc,,64,d2,json,dns_message,binvec,1,0.2,dt,,15,1016,24956,74,0,48986,0.9990002161694769,1.0,0.9970435477427088,0.9985195854839355
