protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,nb,,9093,2114,6886,15554,0.7325170148898862,0.5690593904499656,0.811367895065584,0.6689472522621938
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,lr,max_iter=5000,8117,3090,2759,19681,0.8261657800101049,0.7463221772710555,0.7242794681895244,0.7351356246886745
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,knn,algorithm=brute,8332,2875,2831,19609,0.8304157874401878,0.7463943384394875,0.743463906487017,0.7449262405006706
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,svm,C=0.01,8081,3126,2669,19771,0.8277706779207656,0.7517209302325581,0.721067190149014,0.736075055790864
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,dt,,8700,2507,2551,19889,0.849674562368116,0.7732645987023375,0.7763005264566789,0.7747795885653219
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",8501,2706,2684,19756,0.8398074122507208,0.760035762181493,0.758543767288302,0.7592890317970704
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,nb,,9136,2148,6811,15552,0.7337355484887211,0.5728977237097886,0.8096419709322935,0.6709999632771474
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,lr,max_iter=5000,8227,3057,2762,19601,0.827057389960472,0.7486577486577487,0.7290854306983339,0.7387419745880662
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,knn,algorithm=brute,8409,2875,2929,19434,0.8275031949356555,0.7416651966837184,0.7452144629563985,0.7434355936698789
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,svm,C=0.01,8189,3095,2661,19702,0.8289297708562428,0.7547465437788018,0.7257178305565403,0.7399475919400018
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,dt,,8874,2410,2639,19724,0.8499420453532261,0.7707808564231738,0.7864232541651897,0.7785234899328859
coaps,schc,,1024,p1,cbor,dns_cbor,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",8581,2703,2626,19737,0.8416203524831337,0.7656821629338806,0.7604572846508331,0.7630607798675025
