protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,1,1016,0,14005,0,22116,0.6122754076575952,nan,0.0,0.0
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,2,1016,0,13820,0,22301,0.6173970820298441,nan,0.0,0.0
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,3,1016,0,14033,0,22088,0.6115002353201738,nan,0.0,0.0
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,4,1016,6625,7249,5173,17074,0.6561003294482434,0.5615358535344974,0.47751189274902694,0.5161265191648489
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,5,1016,6674,7335,5089,17023,0.6560449599955704,0.567372268979002,0.4764080234135199,0.5179264317864349
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,6,1016,6682,7185,5050,17204,0.6612773732731652,0.5695533583361746,0.4818634167447898,0.5220516426422908
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,7,1016,6663,7196,5043,17219,0.6611666343678193,0.5691952844695028,0.4807706183707338,0.5212595345198514
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,8,1016,6701,7339,5062,17019,0.6566817087013095,0.5696676018022613,0.4772792022792023,0.5193969693446499
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,9,1016,6579,7238,5100,17204,0.6584258464605077,0.5633187772925764,0.47615256567995945,0.5160809538751177
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,10,1016,6655,7243,5172,17051,0.6562941225325988,0.5626955271835631,0.47884587710461934,0.5173955296404276
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,11,1016,9843,4064,7692,14522,0.6745383571883392,0.5613344739093242,0.7077730639246422,0.6261052095922651
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,12,1016,10040,3992,7666,14423,0.6772514603693143,0.5670394216649723,0.7155074116305588,0.6326800680572184
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,13,1016,9970,4009,7731,14411,0.6749813128097228,0.5632450144059657,0.7132126761570928,0.6294191919191919
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,14,1016,13220,594,10914,11393,0.6814041693197863,0.5477749233446589,0.9570001447806573,0.696742911352377
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,15,1016,13187,593,10697,11644,0.687439439661139,0.5521269469100654,0.956966618287373,0.7002442650807137
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,16,1016,13198,652,10527,11744,0.6905124442844882,0.556290832455216,0.9529241877256318,0.7024883566200931
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,17,1016,13326,711,10292,11792,0.6953849561197087,0.5642306715217207,0.9493481513143834,0.7077944496082857
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,18,1016,12675,1273,9890,12283,0.690955399905872,0.5617106137824064,0.9087324347576714,0.6942732725330704
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,19,1016,12731,1279,9721,12390,0.6954680102987182,0.5670318902547657,0.9087080656673805,0.6983160550710329
coaps,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,20,1016,12043,1754,9534,12790,0.6874948091138119,0.5581406126894378,0.8728709139668044,0.680895573019732
