protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,nb,,6522,7275,4500,20242,0.6944653467915618,0.5917256396298313,0.47271145901282885,0.5255650912607277
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,10096,3701,4655,20087,0.7831806741223176,0.6844281743610603,0.7317532796984851,0.7072999859885106
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9374,4423,4282,20460,0.7741249124263733,0.6864381956649092,0.6794230629847068,0.6829126142862346
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,10638,3159,5226,19516,0.7824281896260931,0.6705748865355522,0.7710371819960861,0.7173055527460301
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,dt,,10385,3412,3611,21131,0.8177690132074003,0.7419977136324665,0.7526998622889034,0.7473104738603246
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11686,2111,5518,19224,0.802044682010431,0.6792606370611486,0.8469957237080524,0.753911164155995
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,nb,,6585,7266,4512,20176,0.6943875035678144,0.5934036226007029,0.4754169374052415,0.5278980278980279
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,10215,3636,4655,20033,0.7848672773035107,0.6869535978480161,0.737491877842755,0.7113262073047596
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9424,4427,4301,20387,0.7735281143776435,0.6866302367941712,0.6803840877914952,0.683492892370177
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,10682,3169,5158,19530,0.7839331586185423,0.6743686868686869,0.7712078550285177,0.7195446431578593
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,dt,,10165,3686,3697,20991,0.8084278263577156,0.733299668157553,0.7338820301783264,0.7335907335907336
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11851,2000,5592,19096,0.8030047484366486,0.6794129450209253,0.8556060934228575,0.7573975842014443
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,nb,,6571,7343,4492,20133,0.6929084823166144,0.59396185483142,0.47225815725168896,0.5261640709452696
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,10322,3592,4695,19930,0.7849710682685073,0.6873543317573417,0.7418427483110536,0.7135598492966022
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9536,4378,4286,20339,0.7751887698175873,0.689914628852554,0.6853528819893633,0.6876261897894433
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,10834,3080,5223,19402,0.7845559044085212,0.6747213053496918,0.7786402184849791,0.7229655333489039
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,dt,,10266,3648,3849,20776,0.8054697838553154,0.7273113708820403,0.7378180250107805,0.7325270255806486
coaps,schc,,1024,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11964,1950,5595,19030,0.8042242922753574,0.6813599863317956,0.8598533850797757,0.7602707082260985
