protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,nb,,13230,11902,10739,38675,0.6962814906232393,0.5519629521465226,0.5264204997612606,0.5388892283252887
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,18870,6262,3047,46367,0.8751240844579186,0.8609754984715061,0.7508355880948592,0.8021424472358605
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19762,5370,3310,46104,0.8835618275963835,0.8565360610263523,0.7863281871717333,0.8199319558542859
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,svm,C=0.01,18964,6168,3120,46294,0.8754057897137338,0.8587212461510596,0.7545758395670857,0.8032870213486953
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,dt,,20097,5035,5880,43534,0.8535803396560513,0.7736459175424414,0.7996578067802005,0.7864368310865014
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",19282,5850,2396,47018,0.8893837362165643,0.8894731986345604,0.76722903071781,0.823841059602649
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,nb,,13308,12029,10674,38535,0.6954497893917849,0.5549161871403553,0.5252397679283262,0.5396703096169834
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,19011,6326,3127,46082,0.8731923912751858,0.8587496612160087,0.7503256107668627,0.8008846761453396
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19851,5486,3362,45847,0.8813081855498618,0.8551673631154957,0.7834787070292457,0.8177548918640577
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,svm,C=0.01,19049,6288,3026,46183,0.8750570117779626,0.8629218573046432,0.7518253936930182,0.8035518434151692
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,dt,,20142,5195,5875,43334,0.8515010865774153,0.7741861090825229,0.7949638868058571,0.7844374342797056
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",19405,5932,2599,46610,0.8855605934590722,0.8818851117978549,0.76587599163279,0.8197967934771129
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,nb,,13205,11919,10845,38577,0.6946315026963217,0.5490644490644491,0.5255930584301862,0.5370724366535161
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,18917,6207,3043,46379,0.8759155420813994,0.8614298724954462,0.7529453908613278,0.803542604706482
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,19737,5387,3276,46146,0.8837898747082339,0.8576456785295268,0.7855835058111765,0.8200344849076594
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,svm,C=0.01,18995,6129,2947,46475,0.8782496713438682,0.8656913681524018,0.7560499920394842,0.8071644074278672
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,dt,,19950,5174,5912,43510,0.8512864540015561,0.7714020570721521,0.7940614551822958,0.7825677636998392
coaps,schc,,64,p1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",19331,5793,2551,46871,0.8880691116894267,0.883420162690796,0.7694236586530807,0.8224907458622304
