protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;0;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;1;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;2;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;3;0.0007020438885993463;0.00026778993688841846;;;;;0.00560732832152816;0.00048494555870942646;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;4;-0.0003039777661976717;0.00013027618551325615;;;;;0.0003891169208265488;0.00018433122431693594;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;5;0.0007527068496323563;0.00002895026344740259;;;;;0.002685408149455615;0.00007516994516654218;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;6;0.0007237565861849538;0.00005790052689480518;;;;;0.002610251413997011;0.0001101139233214421;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;7;-0.0005572925713623889;0.00007961322448035713;;;;;-0.0000562532279553829;0.00011699927706204649;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;8;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;1024;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760544852;1760545243;9;0.0;0.0;;;;;0.0;0.0;;;;
