protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;0;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;1;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;2;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;3;0.0027553180002086743;0.006479104525300811
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;4;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;5;0.002770544831585407;0.0050055015155077145
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;6;0.003821726790010541;0.008619533993168227
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;7;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;8;0.0;0.0
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;9;0.00022573133063890307;0.0004511760345092258
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;10;0.0005403395228977991;0.0009504634315826648
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;11;0.00017323493665384463;0.0005617893966418294
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;12;0.00021265184328916496;0.00043931055418520976
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;13;0.00021230338611158496;0.0005567980827901699
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;14;6.928643489065371e-05;0.00015059162093816346
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;15;1.9234006233845023e-05;4.8218927751769985e-05
coaps;schc;;64;p2;cbor;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470868;1759471400;16;1.096040696837239e-05;3.10905556806258e-05
