protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;0;0.0;0.0
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;1;0.0;0.0
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;2;0.0;0.0
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;3;0.09394841592030381;0.13107137882295972
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;4;0.028838466505067623;0.04446366084002164
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;5;0.04345177809011822;0.05639141476959601
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;6;0.04797601211659704;0.06051514195626542
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;7;0.02073216932542543;0.029049057969095283
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;8;0.0;0.0
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;9;0.0;0.0
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;10;0.03951759012462839;0.06371530021129657
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;11;0.002999689928439944;0.0038578505208085177
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;12;0.0031855382083600028;0.004086983464237112
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;13;0.0025203989814138778;0.0036311721412040994
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;14;0.002220088240165391;0.003636705448425183
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;15;0.002283133979740765;0.0035012704237350773
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;16;0.002755819079861793;0.004254744476181312
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;17;0.0021944073782596356;0.003633220981901609
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;18;0.002172526128178093;0.0028452543618467285
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;19;0.0023176917918965438;0.003292119765151327
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;20;0.0023099701635542645;0.003561004636461181
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;21;0.0020072559295998943;0.0031498495926835083
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;22;6.720174376210852e-05;0.00010407171581163279
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;23;8.466199862392297e-05;0.00013074402648614278
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;24;9.745298023083063e-05;0.0001649156709959179
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;25;7.316788028101444e-05;0.00013601544982256677
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;26;5.82990660536442e-05;9.780224806887956e-05
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;27;0.0002749130157871611;0.00037892245342713895
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;28;7.968991399756942e-05;0.0001330602980905714
coaps;schc;;1024;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759470112;1759470413;29;0.00011252658607787152;0.0004089345559735179
