protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,nb,,8873,2412,4738,19952,0.8012508686587908,0.6518991991771361,0.7862649534780682,0.7128052699228792
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8304,2981,2937,21753,0.835496872828353,0.7387243127835602,0.7358440407620735,0.7372813637574358
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8608,2677,3057,21633,0.8406115357887421,0.7379339905700815,0.7627824545857332,0.750152505446623
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8307,2978,2865,21825,0.8375816539263378,0.7435553168635876,0.7361098803721755,0.739813866500423
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,dt,,9696,1589,1903,22787,0.9029325920778318,0.8359341322527805,0.8591936198493576,0.8474042999475616
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8585,2700,2732,21958,0.8490062543432939,0.758593266766811,0.7607443509082853,0.7596672860808777
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,nb,,9000,2450,4817,19708,0.7979986101459347,0.6513714988781936,0.7860262008733624,0.712391657102149
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8432,3018,3006,21519,0.832550382209868,0.7371918167511803,0.7364192139737992,0.7368053128276826
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8723,2727,3134,21391,0.8370813064628214,0.7356835624525596,0.7618340611353712,0.7485304844038272
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8454,2996,2931,21594,0.8352466990965949,0.7425559947299077,0.7383406113537118,0.7404423034814978
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,dt,,9856,1594,1883,22642,0.9033495482974288,0.8395945140131187,0.8607860262008734,0.8500582172581828
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8771,2679,2835,21690,0.846726893676164,0.755729794933655,0.7660262008733625,0.7608431644691187
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,nb,,8902,2450,4860,19763,0.7968033356497568,0.646853654992007,0.7841789992952783,0.7089272915505296
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8309,3043,2968,21655,0.832911744266852,0.7368094351334574,0.7319415081042988,0.7343674046577401
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8661,2691,3129,21494,0.8382209867963863,0.7346055979643766,0.7629492600422833,0.7485092040445942
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8275,3077,2886,21737,0.8342460041695622,0.7414210196218977,0.7289464411557435,0.7351308133078666
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,dt,,9689,1663,1829,22794,0.9029325920778318,0.8412050703247091,0.8535059901338972,0.8473108876257105
coaps,schc,,1024,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8558,2794,2769,21854,0.8453648366921473,0.7555398605102852,0.7538759689922481,0.7547069976630363
