protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;0;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;1;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;2;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;3;-0.00006300169733974847;3.7059821964557926e-6;;;;;0.0004943258872749934;1.5011369776662953e-6;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;4;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;5;-0.00009264955491150584;3.7059821964557926e-6;;;;;0.00045350798640553247;0.000019108101731002414;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;6;-0.00004447178635752502;0.000029647857571701852;;;;;0.0008275152685836562;0.00010549972709722466;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;7;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;8;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;9;0.0;0.0;;;;;0.0000292710844105315;0.0000292710844105315;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;10;-0.00007411964392917136;7.411964392967096e-6;;;;;-0.00012828623290883634;2.881204265392512e-6;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;11;-0.000033353839768102134;0.000018529910982278963;;;;;-0.00001002085722073831;0.000051100278599502946;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;12;3.7059821965113038e-6;3.7059821965113038e-6;;;;;-0.000030751562194342164;0.00001606987982649688;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;13;-0.00009264955491150584;0.000011117946589367378;;;;;-0.00012085879570600255;0.000024805692609874974;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;14;-0.000022235893178734756;0.000022235893178734756;;;;;-0.00003789992997982328;0.00003789992997982328;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;15;-3.7059821964557926e-6;3.7059821964557926e-6;;;;;0.000019049321020203624;4.365497310365729e-6;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;16;3.7059821965113038e-6;3.7059821965113038e-6;;;;;0.00001021886185048615;0.00001021886185048615;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;17;-7.411964392911585e-6;7.411964392911585e-6;;;;;0.000014683696365369592;8.731121965199762e-6;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;18;0.0;0.0;;;;;0.0;0.0;;;;
coaps;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760464803;1760465575;19;7.411964392967096e-6;7.411964392967096e-6;;;;;0.000026291555610791217;0.000014584487938618107;;;;
