protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,nb,,17488,2728,14093,6019,0.582895258877207,0.5537506728729299,0.8650573802928374,0.6752514624399096
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,15366,4850,5111,15001,0.7530003967466773,0.7504028910484934,0.7600910170162247,0.7552158847959108
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,14552,5664,7647,12465,0.669931561198175,0.655525023649714,0.7198258804907004,0.6861723446893787
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,15345,4871,5181,14931,0.7507439000198374,0.747588424437299,0.7590522358527899,0.7532767169014776
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,18941,1275,1404,18708,0.9335697282285261,0.9309904153354632,0.9369311436485952,0.9339513325608343
https,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",19651,565,8924,11188,0.7647044237254513,0.6876990376202975,0.9720518401266324,0.80551741099793
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,nb,,17201,2789,14357,5981,0.5748363419956358,0.5450598897268522,0.8604802401200601,0.6673779778070924
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,15388,4602,5276,15062,0.7550585201348938,0.7446767324816105,0.7697848924462231,0.7570226791951592
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,14381,5609,7708,12630,0.6697827811942075,0.6510480329575807,0.7194097048524262,0.6835238480001902
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,svm,C=0.01,15384,4606,5408,14930,0.7516861733782979,0.739899961523663,0.7695847923961981,0.7544504928644991
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,dt,,17310,2680,2504,17834,0.8714540765721087,0.8736247098011507,0.8659329664832416,0.8697618329816099
https,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",19411,579,8971,11367,0.7631918270184487,0.6839193855260376,0.9710355177588794,0.8025717357148764
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,nb,,17443,2777,14097,6011,0.5815810355088276,0.5530437539632213,0.8626607319485657,0.6739953632148377
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,15370,4850,5098,15010,0.7533227534219401,0.7509282782880594,0.7601384767556875,0.755505308690523
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,14582,5638,7681,12427,0.6697331878595517,0.6549880968422944,0.7211671612265084,0.6864863592495822
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,svm,C=0.01,15320,4900,5177,14931,0.7501239833366395,0.7474264526516076,0.7576656775469832,0.7525112360930324
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,dt,,18901,1319,1400,18708,0.9325778615354097,0.9310378799073937,0.9347675568743818,0.9328989906468251
https,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",19635,585,8981,11127,0.7627950803412021,0.6861545988258317,0.9710682492581603,0.8041199115406668
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,nb,,17531,2772,14062,5963,0.582572902201944,0.5549014022093501,0.8634684529379895,0.675620471712656
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,15465,4838,4996,15029,0.7561495734973219,0.755828160891452,0.761710092104615,0.7587577274065351
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,14599,5704,7551,12474,0.671320174568538,0.6590970654627539,0.7190562970989509,0.687772360021671
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,svm,C=0.01,15513,4790,5071,14954,0.7554800634794684,0.7536436066848037,0.7640742747377235,0.7588230978061486
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,dt,,19059,1244,1245,18780,0.9382810950208292,0.9386820330969267,0.9387282667586071,0.938705149358485
https,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",19706,597,8737,11288,0.7685479071612775,0.6928242449811904,0.9705954785007141,0.8085176219587248
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,nb,,17550,2770,14096,5912,0.5817794088474509,0.5545724578145738,0.8636811023622047,0.6754416349151369
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,15577,4743,5099,14909,0.7559512001586987,0.7533855678080866,0.7665846456692913,0.759927797833935
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,14615,5705,7593,12415,0.6702539178734378,0.658096181556196,0.719242125984252,0.6873118886380737
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,svm,C=0.01,15536,4784,5137,14871,0.7539922634397936,0.7515116335316596,0.7645669291338583,0.7579830702802918
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,dt,,17663,2657,2435,17573,0.8737353699662765,0.8788436660364215,0.869242125984252,0.8740165272898214
https,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",19741,579,8881,11127,0.7654235270779607,0.6897142058556355,0.971505905511811,0.8067099832454743
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,nb,,17422,2820,14217,5869,0.5775391787343781,0.5506495148392806,0.8606857029937753,0.6716138856228677
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,15446,4796,5032,15054,0.7562983535012894,0.7542728782107627,0.7630668906234562,0.7586444007858546
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,14642,5600,7619,12467,0.6722128545923428,0.6577422397915638,0.7233474953067879,0.688986659765193
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,svm,C=0.01,15400,4842,5175,14911,0.7516117833763142,0.7484811664641555,0.7607943879063334,0.7545875493054365
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,dt,,17755,2487,2360,17726,0.8798105534616147,0.8826746209296545,0.8771366465764252,0.8798969199890974
https,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",19649,593,8910,11176,0.7643572703828605,0.6880142862145033,0.9707044758423081,0.8052703838036106
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,nb,,17392,2793,14203,5940,0.5785558420948225,0.5504668460199399,0.8616299232103046,0.6717651602935496
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,15554,4631,5217,14926,0.7558024201547312,0.7488325068605267,0.7705722070844687,0.7595468307451899
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,knn,algorithm=brute,14438,5747,7713,12430,0.6662368577663162,0.6517990158457857,0.7152836264552885,0.6820672713529856
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,svm,C=0.01,15459,4726,5290,14853,0.7516365800436421,0.7450479541182707,0.7658657418875403,0.7553134313773391
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,dt,,17793,2392,2355,17788,0.8822902201944058,0.8831149493746278,0.881496160515234,0.8823048124364664
https,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",19577,608,8926,11217,0.7635885736956953,0.6868399817563063,0.9698786227396582,0.8041817285573447
https,eth,,1024,d1,json,dns_cbor,binvec,8,0.2,nb,,17333,2780,14238,5977,0.5780103154136084,0.5490165024864591,0.8617809377019838,0.6707298196733998
https,eth,,1024,d1,json,dns_cbor,binvec,8,0.2,lr,max_iter=5000,15349,4764,5113,15102,0.7550833168022217,0.7501221776952399,0.7631382687813851,0.7565742452248921
https,eth,,1024,d1,json,dns_cbor,binvec,8,0.2,knn,algorithm=brute,14521,5592,7760,12455,0.6689148978377306,0.6517211974327902,0.7219708646149257,0.6850497711940369
https,eth,,1024,d1,json,dns_cbor,binvec,8,0.2,svm,C=0.01,15499,4614,5300,14915,0.7541658401110891,0.7451800567334969,0.7705961318550192,0.7576750097770825
