protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,8,8816,0,10143,0,10021,0.49697480658599485,nan,0.0,0.0
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,16,8816,0,10115,0,10049,0.49836341995635786,nan,0.0,0.0
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,24,8816,10028,0,10136,0,0.4973219599285856,0.4973219599285856,1.0,0.6642819289878114
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,32,8816,10022,0,10142,0,0.4970243999206507,0.4970243999206507,1.0,0.6640164314582919
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,40,8816,10014,79,7438,2633,0.6272069033921841,0.5738024295209718,0.9921727930248687,0.727101107278998
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,48,8816,8438,1559,2607,7560,0.7933941678238444,0.7639655952919874,0.8440532159647894,0.8020150175838798
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,56,8816,8551,1530,2552,7531,0.7975600079349335,0.7701522111141132,0.8482293423271501,0.8073074018126888
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,64,8816,8570,1526,2585,7483,0.7961218012299147,0.7682653518601524,0.848851030110935,0.8065502799868242
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,72,8816,8601,1527,2568,7468,0.7969152945844079,0.7700778941713672,0.8492298578199052,0.8077193970981829
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,80,8816,8614,1540,2575,7435,0.7959234278912914,0.7698632585575118,0.848335631278314,0.8071967389776508
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,88,8816,8600,1551,2550,7463,0.7966177345764729,0.7713004484304933,0.8472071717072209,0.8074738275198348
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,96,8816,8489,1547,2565,7563,0.7960722078952589,0.7679573005246969,0.8458549222797928,0.8050260787102892
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,104,8816,8735,1497,2541,7391,0.7997421146597897,0.77465413267116,0.85369429241595,0.8122559047796168
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,112,8816,8530,1517,2666,7451,0.7925510811346955,0.7618792425866381,0.8490096546232706,0.8030880760721179
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,120,8816,8564,1530,2605,7465,0.794931561198175,0.7667651535500045,0.8484248068159302,0.8055307341391149
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,128,8816,8480,1563,2613,7508,0.7928982344772862,0.7644460470567024,0.844369212386737,0.8024224072672218
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,136,8816,8600,1503,2563,7498,0.7983535012894267,0.7704022216250112,0.8512323072354746,0.8088027837863256
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,144,8816,8513,1555,2594,7502,0.7942372545129934,0.7664535878274962,0.8455502582439413,0.8040613931523023
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,152,8816,8565,1557,2540,7502,0.7968161079150962,0.7712742008104457,0.8461766449318316,0.8069910962453479
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,160,8816,8560,1577,2557,7470,0.7949811545328308,0.769991904290726,0.8444312913090658,0.8054954361531947
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,168,8816,8435,1541,2556,7632,0.7968161079150962,0.7674460922573014,0.8455292702485966,0.8045977011494253
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,176,8816,8630,1523,2489,7522,0.8010315413608411,0.7761489342566777,0.849995075347188,0.8113952613764573
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,184,8816,8629,1529,2588,7418,0.7958242412219798,0.7692787732905412,0.8494782437487695,0.8073918128654971
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,192,8816,9261,734,2272,7897,0.8509224360245983,0.8030000867077083,0.9265632816408204,0.8603678929765887
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,200,8816,9373,814,2252,7725,0.847946835945249,0.8062795698924731,0.9200942377540002,0.8594351732991015
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,208,8816,9244,836,2260,7824,0.8464590359055743,0.8035465924895688,0.917063492063492,0.8565604151223128
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,216,8816,9388,755,2326,7695,0.8472029359254116,0.8014341813214957,0.9255644286700188,0.859038294367937
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,224,8816,9324,727,2324,7789,0.8486907359650863,0.8004807692307693,0.9276688886677943,0.8593944421401908
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,232,8816,9313,773,2289,7789,0.8481452092838723,0.8027064299258748,0.9233591116398969,0.8588159350793065
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,240,8816,9312,682,2389,7781,0.8476988692719698,0.795829416289206,0.93175905543326,0.8584466466927864
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,248,8816,9342,723,2325,7774,0.8488395159690537,0.8007199794291592,0.928166915052161,0.8597459966869133
oscore-base,eth,,1024,d1,cbor,dns_cbor,binvec,1,0.2,dt,,256,8816,9387,768,2265,7744,0.8495834159888911,0.8056127703398558,0.9243722304283604,0.8609162195625258
