protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,8,4104,0,17619,0,53766,0.7531834418995588,nan,0.0,0.0
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,16,4104,0,17636,0,53749,0.7529452966309449,nan,0.0,0.0
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,24,4104,0,17643,0,53742,0.7528472368144569,nan,0.0,0.0
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,32,4104,0,17788,0,53597,0.7508159977586327,nan,0.0,0.0
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,40,4104,0,17663,0,53722,0.7525670659102053,nan,0.0,0.0
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,48,4104,8463,9139,4278,49505,0.8120473488828185,0.6642335766423357,0.4807976366322009,0.557822232475365
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,56,4104,8555,9032,4403,49395,0.8117951950689921,0.6602099089365643,0.48643884687553307,0.560157145195613
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,64,4104,8493,9010,4298,49584,0.8135742803109897,0.6639824876866547,0.4852311032394447,0.5607050901168549
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,72,4104,8358,9159,4298,49570,0.8114870070743153,0.6603982300884956,0.47713649597533825,0.5540052364696915
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,80,4104,8444,9164,4462,49315,0.8091195629333894,0.6542693320935998,0.47955474784189006,0.553450875008193
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,88,4104,8506,9136,4367,49376,0.8108426139945367,0.6607628369455449,0.482144881532706,0.5574963132885467
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,96,4104,8485,9033,4403,49464,0.8117811865237795,0.6583643699565487,0.4843589450850554,0.5581135302242979
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,104,4104,8365,9291,4307,49422,0.8095118021993416,0.6601167929292929,0.4737766198459447,0.5516354523872329
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,112,4104,8377,9207,4347,49454,0.8101281781886951,0.6583621502672116,0.4763989990900819,0.5527913422198759
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,120,4104,8452,8918,4384,49631,0.8136583315822652,0.6584605796198193,0.4865860679332182,0.5596239157783222
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,128,4104,8328,9257,4381,49419,0.8089514603908384,0.6552836572507672,0.47358544213818593,0.549811843929491
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,136,4104,8397,9161,4290,49537,0.8115710583455908,0.6618585954126271,0.47824353571021755,0.5552653331129113
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,144,4104,8414,9204,4437,49330,0.8089094347552007,0.6547350400747024,0.47757974798501535,0.5522990580590108
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,152,4104,8541,9110,4432,49302,0.810296280731246,0.658367378401295,0.4838819330349555,0.5577978056426333
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,160,4104,8400,9091,4250,49644,0.8131119983189746,0.6640316205533597,0.480246984163284,0.5573803125311038
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,168,4104,8400,9082,4366,49537,0.8116130839812286,0.6579978066739778,0.48049422262898983,0.5554086220576567
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,176,4104,8409,9136,4351,49489,0.811066750717938,0.659012539184953,0.4792818466799658,0.5549579277346972
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,184,4104,8529,9151,4392,49313,0.8102822721860334,0.660088228465289,0.48240950226244345,0.5574327636351754
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,192,4104,10682,6967,4799,48937,0.8351754570287876,0.6900071054841419,0.6052467561901524,0.6448536070027165
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,200,4104,10517,7195,4673,49000,0.8337465854171044,0.6923633969716919,0.5937782294489612,0.6392924442283144
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,208,4104,10508,6968,4663,49246,0.8370666106324858,0.6926372684727441,0.6012817578393225,0.6437344932153031
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,216,4104,10424,7010,4724,49227,0.8356237304755901,0.6881436493266437,0.5979121257313296,0.6398625007672948
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,224,4104,10556,6973,4688,49168,0.8366463542761085,0.6924691681973235,0.6022020651491814,0.6441888139627132
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,232,4104,10649,7014,4719,49003,0.8356377390208027,0.6929333680374805,0.6028987148276057,0.6447882292391995
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,240,4104,10462,7156,4758,49009,0.8331021923373257,0.6873850197109067,0.5938244976728346,0.6371886229368414
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,248,4104,10651,6937,5009,48788,0.8326539188905232,0.6801404853128991,0.6055833522856493,0.6407001924927815
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,256,4104,10519,7091,4743,49032,0.8342228759543321,0.6892281483422881,0.5973310618966496,0.6399975663178389
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,264,4104,10558,7085,4743,48999,0.8343069272256076,0.6900202601137181,0.5984243042566457,0.6409664885866926
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,272,4104,10371,7168,4643,49203,0.8345450724942215,0.6907552950579459,0.5913107930896858,0.6371762971154732
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,280,4104,10506,7236,4578,49065,0.8345030468585838,0.6964996022275258,0.592154210348326,0.6401023578870407
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,288,4104,10389,7019,4762,49215,0.8349653288505988,0.685697313708666,0.5967945772058824,0.6381645627936976
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,296,4104,10320,7254,4567,49244,0.8344049870420956,0.6932222744676564,0.5872311369067942,0.6358399309941161
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,304,4104,10621,7100,4620,49044,0.8358198501085662,0.6968702841020931,0.5993454094012753,0.644439051028457
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,312,4104,10617,6985,4849,48934,0.8342228759543321,0.6864735548946075,0.603170094307465,0.642131365670739
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,320,4104,10597,6961,4849,48978,0.8345590810394341,0.6860675903146446,0.6035425447089646,0.6421645861107744
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,328,4104,10585,7102,4779,48919,0.8335644743293409,0.688948190575371,0.5984621473398541,0.6405252488578258
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,336,4104,10669,6798,4852,49066,0.8368004482734468,0.6873912763352876,0.6108089540275949,0.6468412756153753
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,344,4104,10621,7121,4668,48975,0.8348532604888982,0.6946824514356728,0.5986360049599819,0.6430928521691744
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,352,4104,10638,6917,4837,48993,0.8353435595713385,0.6874313408723748,0.6059812019367702,0.644141689373297
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,360,4104,10699,7060,4658,48968,0.8358478671989914,0.6966855505632611,0.6024550931921843,0.6461529170189636
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,368,4104,10545,6992,4716,49132,0.8359879526511171,0.6909770001965795,0.6013001083423619,0.6430270138423074
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,376,4104,10507,7048,4789,49041,0.8341808503186944,0.686911610878661,0.5985189404727997,0.6396761133603239
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,384,4104,10603,6969,4888,48925,0.8339006794144428,0.6844619456458589,0.6034031413612565,0.64138160481505
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,392,4104,10882,6714,4577,49212,0.8418295160047629,0.7039265152985316,0.618436008183678,0.658417788534261
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,400,4104,10641,6867,4485,49392,0.8409749947467955,0.703490678302261,0.6077793008910213,0.6521419378562235
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,408,4104,9927,7552,3813,50093,0.840792883659032,0.7224890829694323,0.5679386692602552,0.6359588712002306
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,416,4104,10699,6828,6228,47630,0.8171044337045598,0.6320671117150115,0.6104296228675757,0.6210599640099843
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,424,4104,11148,6169,6119,47949,0.827862996427821,0.6456246018416633,0.6437604665935208,0.6446911866759195
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,432,4104,11573,5993,5860,47959,0.8339567135952931,0.6638559054666437,0.6588295570989411,0.6613331809480271
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,440,4104,11505,6105,5818,47957,0.8329761154304125,0.6641459331524563,0.6533219761499148,0.65868949131194
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,448,4104,11394,6260,5996,47735,0.8283112698746236,0.6552041403105233,0.6454061402515011,0.6502682342198379
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,456,4104,11322,6125,6220,47718,0.827064509350704,0.6454224147759663,0.6489367799621711,0.6471748263740033
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,464,4104,11015,6506,6863,47001,0.8127197590530223,0.6161203714061976,0.628674162433651,0.6223339642362778
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,472,4104,10803,6711,7102,46769,0.806499964978637,0.6033510192683608,0.6168208290510448,0.6100115757079534
oscore-base,eth,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,480,4104,10896,6911,7289,46289,0.8010786579813687,0.5991751443497388,0.6118941989105408,0.6054678817515003
