protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,nb,,9321,793,3970,6079,0.7637752318603382,0.701301632683771,0.9215938303341902,0.7964964751121555
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10114,0,0,10049,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9719,395,1206,8843,0.9205971333630908,0.8896109839816934,0.9609452244413684,0.9239032273397024
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10113,1,0,10049,0.9999504042057233,1.0,0.9999011271504845,0.9999505611311613
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,dt,,10114,0,0,10049,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9797,317,2022,8027,0.8839954371869265,0.8289195363397919,0.9686573067035792,0.8933570419003328
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,nb,,9307,796,3998,6062,0.7622377622377622,0.699511461856445,0.9212115213302979,0.7951982228298018
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,9695,408,1219,8841,0.919307642711898,0.8883085944658237,0.9596159556567356,0.9225864776133607
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,svm,C=0.01,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,dt,,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9818,285,1955,8105,0.8889054208203144,0.8339420708400578,0.9717905572602198,0.8976046809288718
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,nb,,9156,756,4067,6184,0.7607994842037396,0.6924298570672314,0.923728813559322,0.7915279878971255
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,9912,0,0,10251,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,9487,425,1233,9018,0.9177701730893221,0.8849813432835821,0.9571226795803067,0.9196393951143854
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,svm,C=0.01,9912,0,0,10251,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,dt,,9912,0,0,10251,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9579,333,2151,8100,0.876804047016813,0.8166240409207162,0.9664043583535109,0.8852231771555309
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,nb,,9343,765,3883,6172,0.7694787482021525,0.7064116134885831,0.9243173723783142,0.8008056912659638
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,10108,0,0,10055,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,9690,418,1185,8870,0.9204979417745375,0.8910344827586207,0.9586466165413534,0.9236048229519135
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,svm,C=0.01,10108,0,0,10055,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,dt,,10108,0,0,10055,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9719,389,1923,8132,0.885334523632396,0.8348221954990551,0.9615156311832213,0.8937011494252873
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,nb,,9256,834,3986,6087,0.7609482715865694,0.6989880682676333,0.9173439048562934,0.7934167666723813
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,10090,0,0,10073,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,9685,405,1196,8877,0.9205971333630908,0.8900836320191159,0.9598612487611496,0.9236564779934194
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,svm,C=0.01,10090,0,0,10073,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,dt,,10090,0,0,10073,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9741,349,2096,7977,0.8787382829936021,0.8229281067838135,0.9654112983151635,0.8884936379805719
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,nb,,9361,742,3935,6125,0.7680404701681297,0.704046329723225,0.92655646837573,0.8001196632334715
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,knn,algorithm=brute,9704,399,1188,8872,0.9212914744829639,0.8909291222915902,0.9605067801643077,0.9244105739461776
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,svm,C=0.01,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,dt,,10103,0,0,10060,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9800,303,2080,7980,0.8818132222387541,0.8249158249158249,0.9700089082450757,0.8915980530409863
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,nb,,9361,782,3911,6109,0.7672469374597034,0.7053194695599759,0.9229024943310657,0.7995729233397395
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,lr,max_iter=5000,10143,0,0,10020,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,knn,algorithm=brute,9708,435,1172,8848,0.920299558597431,0.8922794117647059,0.9571132800946466,0.9235599105741331
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,svm,C=0.01,10143,0,0,10020,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,dt,,10143,0,0,10020,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",9827,316,2043,7977,0.8830035213013936,0.8278854254422915,0.96884550921818,0.8928360514241585
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,nb,,9312,788,4012,6051,0.7619401874721023,0.698889222455719,0.921980198019802,0.7950819672131147
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,lr,max_iter=5000,10100,0,0,10063,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,knn,algorithm=brute,9695,405,1194,8869,0.9206963249516441,0.8903480576728809,0.9599009900990099,0.9238172376006479
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,svm,C=0.01,10100,0,0,10063,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,dt,,10100,0,0,10063,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",9785,315,2052,8011,0.8826067549471804,0.826645264847512,0.9688118811881188,0.8921001048456945
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,nb,,9401,777,3999,5986,0.7631304865347418,0.7015671641791045,0.9236588720770289,0.7974382899312918
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,lr,max_iter=5000,10178,0,0,9985,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,knn,algorithm=brute,9773,405,1182,8803,0.9212914744829639,0.8921040620721132,0.9602082923953625,0.9249041782993422
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,svm,C=0.01,10178,0,0,9985,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,dt,,10178,0,0,9985,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,9,0.2,rf,"n_estimators=250,max_depth=9",9853,325,1979,8006,0.8857312899866091,0.8327417173766059,0.9680683827864021,0.8953203089504771
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,nb,,9315,791,4007,6050,0.7620393790606557,0.6992193364359706,0.9217296655452206,0.7952023220078539
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,lr,max_iter=5000,10106,0,0,10057,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,knn,algorithm=brute,9665,441,1223,8834,0.9174725983236621,0.8876745040411462,0.956362556896893,0.9207392588358578
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,svm,C=0.01,10106,0,0,10057,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,dt,,10106,0,0,10057,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,cbor,dns_message,binvec,10,0.2,rf,"n_estimators=250,max_depth=9",9710,396,2056,8001,0.8783911124336656,0.8252592214856366,0.9608153572135365,0.8878931967812729
