protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,8,8840,0,10223,0,9940,0.4929821951098547,nan,0.0,0.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,16,8840,0,10102,0,10061,0.4989832862173288,nan,0.0,0.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,24,8840,0,10116,0,10047,0.49828894509745575,nan,0.0,0.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,32,8840,10062,0,10101,0,0.4990328820116054,0.4990328820116054,1.0,0.6658064516129032
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,40,8840,10007,94,7160,2902,0.6402321083172147,0.5829207199860197,0.9906939906939907,0.7339738888073932
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,48,8840,8405,1541,2581,7636,0.7955661359916679,0.765064627707992,0.8450633420470541,0.803076629084655
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,56,8840,8740,1508,2608,7307,0.7958637107573278,0.7701797673598872,0.8528493364558938,0.8094091498425634
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,64,8840,8454,1630,2534,7545,0.7934831126320488,0.7693847834000728,0.8383577945259818,0.8023917995444191
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,72,8840,8513,1538,2567,7545,0.7964092644943709,0.7683212996389892,0.8469803999602029,0.8057356490464247
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,80,8840,8457,1590,2597,7519,0.7923424093636859,0.7650624208431337,0.841743804120633,0.8015733851476233
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,88,8840,8567,1503,2732,7361,0.789961811238407,0.7582086910346049,0.8507447864945382,0.8018157143525668
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,96,8840,8604,1532,2592,7435,0.7954669444031146,0.7684887459807074,0.8488555643251776,0.8066754172135758
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,104,8840,8514,1538,2721,7390,0.7887715121757675,0.7578104138851802,0.8469956227616394,0.7999248367548268
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,112,8840,8515,1544,2602,7502,0.7943758369290285,0.7659440496536836,0.846505616860523,0.8042123158292407
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,120,8840,8386,1628,2581,7568,0.7912513018895998,0.76465760919121,0.8374276013580987,0.7993899242171488
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,128,8840,8479,1562,2590,7532,0.7940782621633685,0.7660131899900623,0.844437804999502,0.8033159639981051
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,136,8840,8505,1597,2517,7544,0.7959629023458811,0.7716385410996189,0.8419124925757275,0.8052452187085779
