protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,nb,,8993,1123,4472,5575,0.7225115310221694,0.6678796880802079,0.8889877421905892,0.7627327085365336
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9583,533,1108,8939,0.918613301592025,0.8963614254980825,0.9473111901937524,0.9211323112414092
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9779,337,2102,7945,0.879035857759262,0.8230788654153691,0.9666864373270068,0.8891212438059736
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,nb,,9056,1126,4476,5505,0.7221643604622328,0.6692284954182678,0.889412689059124,0.7637682381715443
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10182,0,0,9981,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9685,497,1135,8846,0.9190596637405148,0.8951016635859519,0.9511883716362208,0.9222931149414342
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,svm,C=0.01,10182,0,0,9981,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,dt,,10182,0,0,9981,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9852,330,2211,7770,0.8739770867430442,0.8167122606316837,0.9675898644667059,0.8857720836142954
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,nb,,9018,1098,4509,5538,0.7219163814908496,0.6666666666666666,0.891459074733096,0.7628473543966502
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9650,466,1212,8835,0.9167782572037891,0.8884183391640582,0.953934361407671,0.9200114405567738
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,svm,C=0.01,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,dt,,10116,0,0,10047,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9804,312,2297,7750,0.8706045727322324,0.8101809767787786,0.9691577698695136,0.8825674033397849
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,nb,,9025,1100,4505,5533,0.7220155730794029,0.6670362158167036,0.891358024691358,0.7630522088353414
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,10125,0,0,10038,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9656,469,1121,8917,0.9211426871001339,0.8959821842813399,0.953679012345679,0.9239307243325997
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,svm,C=0.01,10122,3,0,10038,0.99985121261717,1.0,0.9997037037037036,0.9998518299007261
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,dt,,10125,0,0,10038,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9831,294,2141,7897,0.8792342409363686,0.8211660541262947,0.9709629629629629,0.8898040457980722
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,nb,,8992,1090,4481,5600,0.7237018300848088,0.6674088918577896,0.8918865304503075,0.7634897049458713
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,10082,0,0,10081,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9635,447,1103,8978,0.9231265188711997,0.8972806854162786,0.9556635588176949,0.925552353506244
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,svm,C=0.01,10082,0,0,10081,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,dt,,10082,0,0,10081,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9764,318,2282,7799,0.8710509348807222,0.8105595218329736,0.9684586391588971,0.8825018076644975
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,nb,,8881,1130,4502,5650,0.7206764866339335,0.6636030785324666,0.8871241634202377,0.7592545097033427
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,10011,0,0,10152,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,9547,464,1147,9005,0.9201011754203243,0.8927435945389939,0.9536509839176905,0.9221927070755856
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,svm,C=0.01,10011,0,0,10152,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,dt,,10011,0,0,10152,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9741,270,2301,7851,0.8724892129147448,0.8089187842551071,0.9730296673658975,0.8834172221466468
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,nb,,8983,1113,4494,5573,0.7219163814908496,0.6665429991837946,0.8897583201267829,0.7621431298519493
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,10096,0,0,10067,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,knn,algorithm=brute,9601,495,1111,8956,0.9203491543917076,0.8962845407020165,0.9509706814580031,0.9228181468665898
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,svm,C=0.01,10096,0,0,10067,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,dt,,10096,0,0,10067,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,d1,json,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",9787,309,2128,7939,0.8791350493478153,0.8214015946286194,0.9693938193343898,0.8892826314115669
