protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,8,4104,0,27604,0,62047,0.6920949013396392,nan,0.0,0.0
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,16,4104,0,27789,0,61862,0.690031343766383,nan,0.0,0.0
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,24,4104,0,27618,0,62033,0.6919387402259874,nan,0.0,0.0
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,32,4104,0,27764,0,61887,0.6903102028979041,nan,0.0,0.0
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,40,4104,0,27713,0,61938,0.6908790755262072,nan,0.0,0.0
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,48,4104,18571,9055,3094,58931,0.8644856164459961,0.85718901453958,0.6722290595815537,0.7535249842770485
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,56,4104,18684,8871,3170,58926,0.8656902878941674,0.8549464628900888,0.6780620577027763,0.7562994596126211
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,64,4104,18517,9006,3116,59012,0.8647867843080389,0.8559608006286692,0.6727827635068852,0.7533973472210921
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,72,4104,18674,9156,3173,58648,0.862477830699044,0.8547626676431547,0.67100251527129,0.7518167361153049
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,80,4104,18851,9040,3262,58498,0.8627789985610869,0.8524849635960747,0.675881108601341,0.7539796816254699
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,88,4104,18740,9144,3124,58643,0.8631582469799556,0.8571167215514087,0.6720700043035432,0.7533971214923213
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,96,4104,18727,9033,3142,58749,0.8641956029492142,0.8563263066441081,0.6746037463976945,0.7546797235487316
oscore-base,eth,,64,d1,json,dns_message,binvec,1,0.2,dt,,104,4104,18726,8914,3216,58795,0.8646975493859522,0.8534317746786984,0.6774963820549927,0.7553547658424429
