protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,nb,,26888,1024,5907,47657,0.9149320045166675,0.8198810794328404,0.9633132702780166,0.885828652379462
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,27912,0,0,53564,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,26214,1698,643,52921,0.9712676125484805,0.9760583832892729,0.9391659501289767,0.9572568423743358
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,27912,0,0,53564,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,dt,,27912,0,0,53564,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",25956,1956,87,53477,0.9749251313270165,0.9966593710402027,0.9299226139294927,0.9621351125938282
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,nb,,26567,1010,5777,48122,0.916699396141195,0.8213888201830324,0.9633752764985314,0.8867342000300396
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,27577,0,0,53899,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,25947,1630,642,53257,0.9721144877018999,0.9758546767460228,0.9408927729629764,0.9580548683676107
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,27577,0,0,53899,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,dt,,27577,0,0,53899,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",25600,1977,88,53811,0.9746551131621581,0.9965742759265026,0.9283098234035609,0.9612315779592603
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,nb,,26785,920,5525,48246,0.9208969512494477,0.8290003095017022,0.9667929976538531,0.8926101807881363
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,27705,0,0,53771,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,25970,1735,604,53167,0.9712921596543768,0.9772710167833221,0.937375924923299,0.9569078280734723
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,27705,0,0,53771,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,dt,,27705,0,0,53771,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",25681,2024,114,53657,0.9737591437969464,0.9955805388641209,0.9269445948384768,0.9600373831775701
oscore-base,eth,,64,d2,cbor,dns_message,binvec,4,0.2,nb,,26640,1003,5454,48379,0.9207496686140704,0.8300616937745373,0.9637159497883732,0.8919095368029865
oscore-base,eth,,64,d2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,27643,0,0,53833,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,26009,1634,571,53262,0.9729368157494231,0.9785176824680211,0.9408891943710885,0.9593345997086108
oscore-base,eth,,64,d2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,27643,0,0,53833,1.0,1.0,1.0,1.0
oscore-base,eth,,64,d2,cbor,dns_message,binvec,4,0.2,dt,,27643,0,0,53833,1.0,1.0,1.0,1.0
