protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,9017,1103,5068,4975,0.6939443535188216,0.6401845935392261,0.8910079051383399,0.7450526750671349
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10120,0,0,10043,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9678,442,1194,8849,0.9188612805634082,0.8901766004415012,0.9563241106719368,0.9220655487804879
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,10118,2,1,10042,0.99985121261717,0.9999011760055342,0.999802371541502,0.9998517713325757
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,10120,0,0,10043,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9894,226,1857,8186,0.8966919605217477,0.8419708960939495,0.9776679841897233,0.9047597274930272
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,8918,1064,5102,5079,0.6941923324902048,0.6360912981455065,0.8934081346423562,0.7431047412715607
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9982,0,0,10181,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9549,433,1244,8937,0.9168278529980658,0.8847401093301214,0.9566219194550191,0.9192779783393502
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,9982,0,0,10181,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,9982,0,0,10181,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9759,223,2023,8158,0.8886078460546546,0.8282974028178578,0.9776597876177119,0.8968020584451387
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,nb,,8965,1070,5093,5035,0.6943411198730348,0.6377151799687011,0.8933731938216243,0.7441995600381853
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10035,0,2,10126,0.9999008084114467,0.9998007372720933,1.0,0.9999003587086489
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9603,432,1284,8844,0.9148936170212766,0.8820611738771011,0.95695067264574,0.917981072555205
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,10035,0,3,10125,0.99985121261717,0.9997011356843993,1.0,0.9998505455088925
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,dt,,10035,0,0,10128,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9790,245,1996,8132,0.8888558250260378,0.8306465297810962,0.9755854509217738,0.8973007653178131
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,nb,,9007,1022,5054,5080,0.6986559539751029,0.6405661048289595,0.8980955229833483,0.7477791614777917
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10029,0,1,10133,0.9999504042057233,0.999900299102692,1.0,0.9999501470661548
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9566,463,1188,8946,0.9181173436492586,0.8895294774037568,0.9538338817429455,0.9205600731366983
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,10029,0,2,10132,0.9999008084114467,0.9998006180839398,1.0,0.999900299102692
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,dt,,10029,0,0,10134,1.0,1.0,1.0,1.0
oscore-base,eth,,1024,p1,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9826,203,2015,8119,0.8899965282944007,0.8298285617768769,0.9797586997706651,0.8985825331504343
