protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,nb,,9245,806,4081,6031,0.7576253533700342,0.6937565661113613,0.9198089742314197,0.7909483680540702
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,10048,3,2,10110,0.9997520210286168,0.9998009950248756,0.9997015222365934,0.9997512561564101
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,9630,421,1239,8873,0.9176709815007688,0.8860060723157605,0.9581136205352702,0.9206500956022945
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,svm,C=0.01,10047,4,2,10110,0.9997024252343402,0.9998009752214151,0.9996020296487912,0.9997014925373134
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,10050,1,1,10111,0.9999008084114467,0.9999005074121978,0.9999005074121978,0.9999005074121978
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9807,244,1992,8120,0.8891038039974211,0.8311721332316298,0.9757238085762611,0.8976659038901602
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,nb,,9252,808,3999,6104,0.7615930169121659,0.6982114557391895,0.9196819085487078,0.7937883402685427
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,10057,3,1,10102,0.9998016168228934,0.9999005766553987,0.9997017892644136,0.9998011730788349
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,9622,438,1139,8964,0.9217874324257302,0.8941548183254344,0.9564612326043738,0.9242591614235628
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,svm,C=0.01,10056,4,1,10102,0.9997520210286168,0.9999005667694143,0.9996023856858847,0.9997514539941343
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,dt,,10058,2,0,10103,0.9999008084114467,1.0,0.9998011928429423,0.9999005865394175
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9835,225,1855,8248,0.8968407479045777,0.8413173652694611,0.9776341948310139,0.904367816091954
oscore-base,eth,,1024,p1,cbor,dns_message,binvec,3,0.2,nb,,9203,891,4082,5987,0.7533601150622428,0.6927361686112157,0.9117297404398653,0.7872877368578639
