protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;3;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;4;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;5;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;6;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;7;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;8;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;9;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;10;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;11;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;12;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;13;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;14;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;15;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;eth;;1024;p1;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760475306;1760478613;16;0.0;0.0;;;;;0.0;0.0;;;;
