protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,19581,5588,4544,38230,0.8508749981602225,0.8116476683937823,0.7779808494576662,0.7944577433359029
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,17690,7479,6346,36428,0.7965206128666676,0.735979364286903,0.7028487425006953,0.7190326186363174
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,21125,4044,5767,37007,0.8555995466788338,0.7855496058307303,0.8393261551909095,0.8115479917788748
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,dt,,21748,3421,3447,39327,0.8989152672092784,0.8631871403056162,0.8640788271286106,0.8636327535541259
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",22812,2357,3273,39501,0.9171364231782524,0.8745255894192064,0.9063530533592912,0.8901549147383618
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,20412,4543,5478,37510,0.8525087205451629,0.7884125144843569,0.8179523141654979,0.8029108073556889
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,17406,7549,6308,36680,0.796049629836775,0.7339967951421101,0.6974954918853937,0.7152807742094557
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,0,24955,0,42988,0.6327068277821115,0.0,0.0,0.0
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,dt,,21503,3452,3406,39582,0.8990624494061198,0.8632622746798346,0.8616710078140654,0.8624659072677683
oscore-base,eth,,64,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",22618,2337,3177,39811,0.9188437366616135,0.8768365962395813,0.9063514325786416,0.8913497536945812
