protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,8,8880,10047,0,10116,0,0.49828894509745575,0.49828894509745575,1.0,0.6651439920556107
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,16,8880,10002,0,10161,0,0.4960571343550067,0.4960571343550067,1.0,0.6631526603679762
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,24,8880,0,10099,0,10064,0.4991320736001587,nan,0.0,0.0
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,32,8880,10081,0,10082,0,0.49997520210286167,0.49997520210286167,1.0,0.6666446237270203
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,40,8880,9785,228,7279,2871,0.6276843723652235,0.5734294421003282,0.9772296015180265,0.722753628540828
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,48,8880,8471,1630,2252,7810,0.8074691266180628,0.7899841462277348,0.8386298386298386,0.8135804840568575
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,56,8880,8483,1689,2224,7767,0.8059316569954867,0.7922854207527785,0.8339559575304758,0.8125868097131088
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,64,8880,8393,1631,2341,7798,0.8030055051331647,0.7819079560275759,0.8372905027932961,0.808652085942769
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,72,8880,8425,1641,2188,7909,0.810097703714725,0.7938377461603694,0.8369759586727598,0.8148363073649596
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,80,8880,8384,1714,2200,7865,0.8058820612012101,0.7921390778533636,0.8302634184987127,0.8107533120587951
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,88,8880,8478,1695,2252,7738,0.8042453999900808,0.790121155638397,0.83338248304335,0.8111754293642061
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,96,8880,8350,1624,2227,7962,0.8090065962406388,0.7894488040086981,0.8371766593142169,0.8126125249379592
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,104,8880,8319,1650,2284,7910,0.8048901453156773,0.7845892671885315,0.8344869094191996,0.8087692008555318
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,112,8880,8506,1588,2245,7824,0.8098993205376184,0.7911822156078504,0.8426788191004557,0.81611897337491
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,120,8880,8337,1729,2225,7872,0.8038982294301443,0.7893391403143344,0.8282336578581363,0.8083187899941827
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,128,8880,8269,1700,2233,7961,0.8049397411099539,0.7873738335555133,0.8294713612197813,0.807874554247472
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,136,8880,8427,1686,2245,7805,0.8050389326985071,0.7896364317841079,0.8332838920201721,0.810873225884051
oscore-base,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,144,8880,8424,1709,2226,7804,0.8048405495214006,0.7909859154929577,0.8313431362873779,0.8106625607467641
