protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,nb,,7646,9846,11319,52798,0.7406536043818697,0.4031637226469813,0.4371141093071118,0.41945305428312807
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,7988,9504,4495,59622,0.8284625470229999,0.6399102779780501,0.4566659044134461,0.532977481234362
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9401,8091,3936,60181,0.8526265485424401,0.7048811576816375,0.537445689458038,0.6098803075026761
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8050,9442,4372,59745,0.8307294538592557,0.6480437932700048,0.4602103818888635,0.5382095339974594
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,dt,,9644,7848,9133,54984,0.7919224595326496,0.5136070724822922,0.5513377544020124,0.5318040199619509
oscore-base,schc,,64,d1,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8650,8842,4651,59466,0.8346628435589212,0.6503270430794678,0.49451177681225705,0.5618159971422076
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,nb,,7648,9749,11350,52862,0.741462338712642,0.40256869144120433,0.4396160257515664,0.4202775106470669
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,7838,9559,4445,59767,0.8284012792706686,0.6381177236831393,0.4505374489854573,0.528167115902965
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9289,8108,3900,60312,0.8528593660012989,0.7042990370763516,0.5339426337874346,0.6074020793827242
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,svm,C=0.01,7975,9422,4339,59873,0.8313788920339669,0.6476368361214877,0.45841236994884177,0.5368382080710847
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,dt,,9597,7800,9308,54904,0.7903662586234361,0.5076434805606982,0.5516468356613209,0.5287311993829541
oscore-base,schc,,64,d1,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8523,8874,4609,59603,0.8347853790635836,0.6490252817544928,0.48991205380237973,0.5583543516001179
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,nb,,7763,9901,11529,52416,0.737406413508314,0.40239477503628446,0.4394814311594203,0.42012122524082696
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,7994,9670,4518,59427,0.8261466259848791,0.6389066496163683,0.4525588768115942,0.5298250265111347
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9385,8279,3895,60050,0.8508252766239017,0.7067018072289156,0.5313066123188406,0.6065796277145812
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,svm,C=0.01,8040,9624,4384,59561,0.8283522650688037,0.6471345782356729,0.45516304347826086,0.5344323318266418
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,dt,,9737,7927,9133,54812,0.790954429045816,0.5160042395336513,0.5512341485507246,0.5330377182898123
oscore-base,schc,,64,d1,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",8628,9036,4663,59282,0.8321386121628742,0.6491610864494771,0.48845108695652173,0.5574543692456793
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,nb,,7834,9689,11497,52589,0.7403962798220785,0.40525580673529565,0.4470695657136335,0.4251370271883649
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,7887,9636,4527,59559,0.8264529647465353,0.6353310778153698,0.4500941619585687,0.5269065036576811
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9311,8212,3961,60125,0.850837530174368,0.7015521398432791,0.5313587855960737,0.604708556583861
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,svm,C=0.01,7896,9627,4380,59706,0.82836451861927,0.6432062561094819,0.45060777264167096,0.5299506694855532
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,dt,,9672,7851,9185,54901,0.7912485142570059,0.5129129766134592,0.5519602807738401,0.531720725673447
oscore-base,schc,,64,d1,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",8478,9045,4523,59563,0.8337438272739526,0.6521036843319744,0.48382126348228044,0.5554973135893068
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,nb,,7901,9793,11279,52636,0.7417931845752307,0.4119395203336809,0.4465355487735956,0.42854043499484734
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,7964,9730,4358,59557,0.8273719810315039,0.6463236487583185,0.45009607776647453,0.5306503198294243
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9453,8241,3810,60105,0.8523324633312502,0.7127346754128026,0.5342488979315022,0.6107180928384534
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,svm,C=0.01,7911,9783,4216,59699,0.8284625470229999,0.6523460047827162,0.4471007121057986,0.5305657087287482
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,dt,,9665,8029,8995,54920,0.791395556862601,0.5179528403001071,0.5462303605742059,0.5317159047147494
oscore-base,schc,,64,d1,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",8671,9023,4551,59364,0.8336703059711551,0.6558009378308879,0.4900531253532271,0.5609393194462414
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,nb,,7766,9735,11518,52590,0.7395752919408398,0.4027172785729102,0.4437460716530484,0.4222373249966019
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,7872,9629,4404,59704,0.8280459263071475,0.6412512218963832,0.4498028684075196,0.528730228028344
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,9235,8266,3921,60187,0.8506659804678406,0.701961082395865,0.5276841323352951,0.6024725185112698
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,svm,C=0.01,7867,9634,4269,59839,0.8296388878677596,0.6482366512854317,0.449517170447403,0.5308904410028006
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,dt,,9608,7893,8868,55240,0.794618240635224,0.5200259796492748,0.5489972001599909,0.53411902048531
oscore-base,schc,,64,d1,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",8538,8963,4572,59536,0.8341481944393389,0.6512585812356979,0.487857836695046,0.5578386854398746
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,nb,,7743,9841,11305,52720,0.7408864218407284,0.4064993700125997,0.4403434940855323,0.4227451408604499
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,7909,9675,4502,59523,0.8262814150400078,0.6372572717750383,0.44978389444949957,0.5273545590931822
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,knn,algorithm=brute,9381,8203,3941,60084,0.8511928831378892,0.7041735475153881,0.5334963603275705,0.6070665890118424
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,svm,C=0.01,7957,9627,4394,59631,0.8281929689127425,0.6442393328475428,0.45251364877161054,0.5316185067646567
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,dt,,9702,7882,9066,54959,0.7923268266980358,0.5169437340153452,0.5517515923566879,0.5337808098591549
oscore-base,schc,,64,d1,json,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",8585,8999,4604,59421,0.8333149530076339,0.6509212222306467,0.48822793448589624,0.557956650310337
