protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,nb,,9024,4074,8879,14415,0.6440701253022643,0.5040496006255935,0.6889601465872652,0.582174768555853
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,9753,3345,3641,19653,0.8080347329083315,0.7281618635209796,0.744617498854787,0.7362977502642307
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9892,3206,3792,19502,0.807704990107716,0.7228880444314528,0.7552298060772638,0.7387051004405945
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,9674,3424,3669,19625,0.8050945262695098,0.7250243573409278,0.7385860436707894,0.7317423698044704
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,dt,,11856,1242,1281,22013,0.9306715761705869,0.9024891527746061,0.9051763628034815,0.903830760434534
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11155,1943,2240,21054,0.8850571554187734,0.8327734229189996,0.85165674148725,0.8421092364020685
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,nb,,9058,4131,8774,14429,0.6453890965047263,0.5079632122027815,0.6867844415801047,0.583991489636053
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,9892,3297,3622,19581,0.8098757968784348,0.7319816486606482,0.750018955189931,0.7408905366438228
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9923,3266,3691,19512,0.8088316113431523,0.7288820332011166,0.7523693987413754,0.7404395030407044
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,9684,3505,3632,19571,0.8038854693339196,0.7272454190447581,0.7342482371673364,0.7307300509337861
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,dt,,12036,1153,1327,21876,0.9318531545394593,0.9006959515078949,0.9125786640382136,0.9065983730039169
oscore-base,schc,,1024,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11256,1933,2171,21032,0.8872279621894922,0.8383108661651896,0.853438471453484,0.8458070333633905
