protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,nb,,17643,9917,28467,35668,0.5813948415944162,0.38262849707221863,0.640166908563135,0.47897380209040313
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,19282,8278,3542,60593,0.8710943890070342,0.8448124780932352,0.6996371552975327,0.7654017148301048
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,22320,5240,3543,60592,0.9042150607993893,0.8630089316784596,0.8098693759071117,0.8355951556445725
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,18804,8756,3233,60902,0.8692513223185561,0.8532921904070427,0.6822931785195936,0.758271669657439
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22319,5241,5491,58644,0.8829598124216151,0.8025530384753685,0.809833091436865,0.806176629944013
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",20285,7275,2339,61796,0.8951524074377011,0.8966142149929278,0.7360304789550073,0.808424996014666
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,nb,,19394,8315,28201,35785,0.6017667266481269,0.4074797772875302,0.6999169944783283,0.5150855200254967
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,19115,8594,3483,60503,0.8682916189541414,0.8458713160456678,0.6898480638059836,0.7599340052080228
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,22491,5218,3559,60427,0.9042804951196903,0.8633781190019194,0.8116857338770797,0.8367343142543574
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,18879,8830,3379,60607,0.8668520639075195,0.8481894150417827,0.6813309754953264,0.7556587347649448
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22533,5176,5362,58624,0.8850755221113474,0.8077791718946048,0.8132014868815186,0.8104812603409827
oscore-base,schc,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",20382,7327,2408,61578,0.893832815311631,0.8943396226415095,0.7355732794398931,0.8072239054238698
