protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;0;0.0;0.0
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;1;0.0;0.0
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;2;0.0;0.0
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;3;0.0020457328479193838;0.006607987654772244
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;4;0.0;0.0
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;5;0.003714661679036835;0.01014041260980367
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;6;0.00316014837040664;0.008927610451340542
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;7;0.0;0.0
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;8;0.27773404429412196;0.24216290461918819
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;9;0.026084607824568114;0.04142335807832929
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;10;0.0027694300460059085;0.005800987330244854
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;11;0.0025664306874152807;0.005858310636609624
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;12;5.4951231586125876e-05;0.00014699171032440692
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;13;2.7264955728176546e-05;6.538497497122736e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;14;3.850359373671209e-05;0.00013033377742077213
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;15;1.405397438122613e-05;3.1976303347008815e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;16;1.030201333664741e-05;2.502626846548973e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;17;1.0506562334706224e-05;2.4264011707760287e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;18;9.173377608606935e-06;1.853486204499605e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;19;1.0686206153660265e-05;2.0061153737005578e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;20;1.0737124811968024e-05;2.432937160584123e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;21;7.314773059995667e-06;1.8363465882580706e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;22;4.775591223131905e-06;1.1793416455463565e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;23;7.639523391987353e-06;1.647558057561667e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;24;4.167101873259743e-06;1.1326664320781776e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;25;5.136532951086173e-06;1.4886329456714456e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;26;4.192797428110526e-06;9.838697290267521e-06
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;27;2.9445270812767704e-06;1.000508800194224e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;28;0.0011227853175636833;0.00251331075370261
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;29;0.001190984745255005;0.0024275707794669957
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;30;0.000957482688763159;0.00177908517791145
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;31;0.0010981824298714154;0.002930314924636387
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;32;0.0010193249363821442;0.0021782774643685477
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;33;0.0014010228665795326;0.002838845732439299
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;34;0.0008621358376229676;0.0025676160504544063
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;35;0.00014891952353285773;0.0005754808343969133
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;36;0.00014743747663890653;0.0004729015870194175
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;37;3.0397798266156976e-05;5.5907377166644764e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;38;9.81072963254513e-06;2.8421114374587622e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;39;8.267923207328546e-06;2.170027778725376e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;40;8.989038128400625e-06;2.044631126538787e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;41;7.581184855373999e-06;1.7386796572918398e-05
oscore-base;schc;min_rules;64;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759440458;1759440994;42;4.253195126386662e-06;1.1180225698370634e-05
