protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;3;0.004164628422597461;0.00005288417044568838;;;;;0.005742865620371074;0.000044035682056908776;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;4;0.006736121210518697;0.00008593677697421587;;;;;0.009537305477945957;0.00008710510597442767;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;5;0.005599111545936564;0.00009915781958563796;;;;;0.007165042488087248;0.00011932918937207493;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;6;0.005400795906765232;0.00008593677697421587;;;;;0.006949872522706901;0.0000926802129350146;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;7;0.010014939778150933;6.610521305683292e-6;;;;;0.014082360024021745;0.00004617542484475212;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;8;0.035544773060803614;0.00012559990480853767;;;;;0.04169785617739313;0.00009966756609441907;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;9;0.0018575564869046102;0.00011237886219711557;;;;;0.002461961445548666;0.00014419631393647325;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;10;0.002511998096169865;0.00002644208522284419;;;;;0.0037412593518205695;0.000015872686789597523;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;11;0.014404325925142458;0.00023136824569985892;;;;;0.019620258150736536;0.00032971074321053173;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;12;0.01729312373573788;0.00046273649139971784;;;;;0.023670377691405453;0.0006454798014441376;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;13;0.012460832661263743;0.00013882094741990425;;;;;0.016945261834797942;0.00019346680073351052;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;14;0.013915147348519952;0.000059494691751371676;;;;;0.018973585342050125;0.00007236933794824152;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;15;0.012559990480849381;0.0003173050226740748;;;;;0.017090712203793434;0.0004385766664485313;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;16;0.01125110726231876;0.00003966312783426629;;;;;0.015269762752888605;0.00005625758036764683;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;17;0.021239604955246794;0.00042968388487119036;;;;;0.029216367166661872;0.0006145739222703783;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;18;0.01136348612451582;0.0003106945013683915;;;;;0.01544100815086713;0.0004265310578911441;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;19;0.04748337453891616;0.0002974734587569694;;;;;0.0675592818473209;0.0004523319249231661;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;20;0.019190343350476702;0.0005090101405396674;;;;;0.026314121071821073;0.000707989801448039;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;21;0.00003966312783426629;0.000013221042611422096;;;;;0.000055841279034740676;0.000020419186314624138;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;22;0.00021153668178280904;0.00003966312783426629;;;;;0.00027665817535371673;0.000051797618164872716;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;23;-0.000039663127834210776;0.00002644208522284419;;;;;-0.00004637158836190425;0.00003406913545705992;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;24;6.6105213057388035e-6;6.6105213057388035e-6;;;;;6.150846082186856e-6;8.855066485013996e-6;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;25;-0.000039663127834210776;0.00002644208522284419;;;;;-0.00004637158836190425;0.00003406913545705992;;;;
oscore-base;schc;min_rules;1024;d2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760487328;1760487966;26;0.00003966312783426629;0.00003966312783426629;;;;;0.00004772122171425863;0.00004772122171425863;;;;
