protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,1,1016,0,27661,0,64072,0.6984618403409896,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,2,1016,0,27713,0,64020,0.6978949778160531,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,3,1016,0,27734,0,63999,0.697666052565598,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,4,1016,0,27618,0,64115,0.6989305920443025,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,5,1016,0,27692,0,64041,0.6981239030665083,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,6,1016,0,27627,0,64106,0.6988324812226788,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,7,1016,0,27788,0,63945,0.6970773876358562,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,8,1016,0,27721,0,64012,0.6978077681968321,nan,0.0,0.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,9,1016,27600,0,0,64133,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,10,1016,27730,0,0,64003,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,11,1016,27569,0,0,64164,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,12,1016,27867,0,0,63866,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,13,1016,27663,0,0,64070,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,14,1016,27603,0,0,64130,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,15,1016,27547,0,0,64186,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,16,1016,27793,0,0,63940,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,17,1016,27829,0,0,63904,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,18,1016,27907,0,0,63826,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,19,1016,27478,0,0,64255,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,20,1016,27601,0,0,64132,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,21,1016,27547,0,0,64186,1.0,1.0,1.0,1.0
oscore-base,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,22,1016,27733,0,0,64000,1.0,1.0,1.0,1.0
