protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,1,1016,0,27735,0,55690,0.6675456997302966,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,2,1016,0,27796,0,55629,0.6668145040455499,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,3,1016,0,27564,0,55861,0.6695954450104885,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,4,1016,0,27655,0,55770,0.6685046448906203,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,5,1016,0,27644,0,55781,0.6686364998501648,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,6,1016,0,27713,0,55712,0.6678094096493856,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,7,1016,0,27717,0,55708,0.6677614623913695,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,8,1016,0,27615,0,55810,0.6689841174707821,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,9,1016,0,27803,0,55622,0.6667305963440215,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,10,1016,0,27745,0,55680,0.6674258315852563,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,11,1016,0,27674,0,55751,0.6682768954150434,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,12,1016,0,27649,0,55776,0.6685765657776446,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,13,1016,0,27624,0,55801,0.6688762361402457,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,14,1016,0,27504,0,55921,0.6703146538807312,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,15,1016,0,27513,0,55912,0.6702067725501948,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,16,1016,0,27599,0,55826,0.6691759065028469,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,17,1016,0,27619,0,55806,0.668936170212766,nan,0.0,0.0
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,18,1016,69,27536,76,55744,0.6690200779142943,0.47586206896551725,0.0024995471834812536,0.004972972972972973
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,19,1016,123,27641,135,55526,0.6670542403356308,0.47674418604651164,0.004430197377899438,0.008778816644065377
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,20,1016,537,27050,583,55255,0.6687683548097093,0.47946428571428573,0.01946569036140211,0.037412477792872816
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,21,1016,1639,26110,1570,54106,0.6682049745280192,0.5107510127765659,0.059065191538433814,0.10588539311325021
oscore-base,schc,peer_based,64,d2,cbor,dns_message,binvec,1,0.2,dt,,22,1016,3125,24643,2879,52778,0.6700988912196584,0.5204863424383744,0.11253961394410833,0.18506455051521972
