protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,1,1016,0,11202,0,23306,0.6753796221166106,nan,0.0,0.0
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,2,1016,0,11380,0,23128,0.6702213979367103,nan,0.0,0.0
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,3,1016,0,11064,0,23444,0.6793786947954098,nan,0.0,0.0
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,4,1016,9088,2202,5288,17930,0.7829488814188015,0.6321647189760712,0.8049601417183349,0.7081742382919037
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,5,1016,8991,2166,5290,18061,0.7839341601947375,0.6295777606610181,0.8058617908039796,0.7068951961632204
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,6,1016,9022,2238,5392,17856,0.7788918511649473,0.6259192451782989,0.8012433392539965,0.7028121835319778
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,7,1016,9033,2233,5281,17961,0.7822533905181407,0.631060500209585,0.8017930055032843,0.7062548866301799
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,8,1016,9085,2221,5282,17920,0.7825721571809435,0.6323519175889191,0.8035556341765434,0.7077474389436372
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,9,1016,8926,2162,5310,18110,0.7834704995942969,0.6270019668446193,0.80501443001443,0.7049439267098405
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10,1016,9044,2203,5314,17947,0.7821664541555581,0.6298927427218276,0.8041255445896683,0.7064245264596758
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,11,1016,9054,2261,5242,17951,0.7825721571809435,0.6333240067151651,0.8001767565178965,0.7070399437741596
